id,participant_id,duration,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
724,6610490691f72e42aa124c90,1544.5,1544.5,1,0,left-1,left,left-dark,light-up,fewer-up,single,2026-02-13 18:43:02.2320000
725,6610490691f72e42aa124c90,3174.900000002235,3174.900000002235,1,1,left-1,right,left-dark,dark-up,fewer-up,single,2026-02-13 18:43:05.9090000
726,6610490691f72e42aa124c90,1608.7000000029802,1608.7000000029802,1,2,left-5,right,left-dark,light-up,greater-up,single,2026-02-13 18:43:08.0190000
727,6610490691f72e42aa124c90,1486.7000000029802,1486.7000000029802,1,3,right-2,right,right-dark,light-up,fewer-up,single,2026-02-13 18:43:10.0080000
728,6610490691f72e42aa124c90,1406.4000000022352,1406.4000000022352,1,4,right-4,right,right-dark,dark-up,greater-up,single,2026-02-13 18:43:11.9160000
729,6610490691f72e42aa124c90,1022.8999999985099,1022.8999999985099,1,5,right-5,left,right-dark,light-up,greater-up,single,2026-02-13 18:43:13.4400000
730,6610490691f72e42aa124c90,1326.6000000014901,1326.6000000014901,1,6,right-5,right,right-dark,dark-up,greater-up,single,2026-02-13 18:43:15.2700000
731,6610490691f72e42aa124c90,1773.2999999970198,1773.2999999970198,1,7,left-3,right,left-dark,dark-up,fewer-up,single,2026-02-13 18:43:17.5440000
732,6610490691f72e42aa124c90,1490.5999999977648,1490.5999999977648,1,8,right-9,right,right-dark,dark-up,greater-up,single,2026-02-13 18:43:19.5360000
733,6610490691f72e42aa124c90,1212.300000000745,1212.300000000745,1,9,right-3,left,right-dark,light-up,greater-up,single,2026-02-13 18:43:21.2500000
734,6610490691f72e42aa124c90,1887.9000000022352,1887.9000000022352,1,10,right-1,left,right-dark,light-up,greater-up,single,2026-02-13 18:43:23.6400000
735,6610490691f72e42aa124c90,1629.9000000022352,1629.9000000022352,0,11,left-5,right,left-dark,light-up,fewer-up,single,2026-02-13 18:43:25.7720000
736,6610490691f72e42aa124c90,1632.199999999255,1632.199999999255,1,12,left-6,left,left-dark,dark-up,greater-up,single,2026-02-13 18:43:28.9090000
737,6610490691f72e42aa124c90,1262,1262,1,13,left-8,left,left-dark,dark-up,greater-up,single,2026-02-13 18:43:30.6720000
738,6610490691f72e42aa124c90,1540,1540,1,14,left-4,left,left-dark,light-up,fewer-up,single,2026-02-13 18:43:32.7140000
739,6610490691f72e42aa124c90,1301,1301,1,15,right-2,right,right-dark,dark-up,greater-up,single,2026-02-13 18:43:34.5170000
740,6610490691f72e42aa124c90,1471.6000000014901,1471.6000000014901,1,16,left-7,left,left-dark,light-up,fewer-up,single,2026-02-13 18:43:36.4900000
741,6610490691f72e42aa124c90,1643.2999999970198,1643.2999999970198,1,17,left-5,left,left-dark,dark-up,greater-up,single,2026-02-13 18:43:38.6350000
742,6610490691f72e42aa124c90,2724.60000000149,2724.60000000149,1,18,right-0,left,right-dark,dark-up,fewer-up,single,2026-02-13 18:43:41.8610000
743,6610490691f72e42aa124c90,1283.199999999255,1283.199999999255,1,19,right-6,left,right-dark,dark-up,fewer-up,single,2026-02-13 18:43:43.6450000
744,6610490691f72e42aa124c90,2215.900000002235,2215.900000002235,1,20,left-3,right,left-dark,light-up,greater-up,single,2026-02-13 18:43:49.4530000
745,6610490691f72e42aa124c90,1126.7000000029802,1126.7000000029802,1,21,left-2,right,left-dark,light-up,greater-up,single,2026-02-13 18:43:51.0820000
746,6610490691f72e42aa124c90,1358.300000000745,1358.300000000745,1,22,left-2,left,left-dark,light-up,fewer-up,single,2026-02-13 18:43:52.9410000
747,6610490691f72e42aa124c90,1386.699999999255,1386.699999999255,1,23,right-4,right,right-dark,light-up,fewer-up,single,2026-02-13 18:43:54.8300000
748,6610490691f72e42aa124c90,1934.8999999985099,1934.8999999985099,1,24,left-9,right,left-dark,dark-up,fewer-up,single,2026-02-13 18:43:57.2670000
749,6610490691f72e42aa124c90,1559.800000000745,1559.800000000745,1,25,left-4,right,left-dark,light-up,greater-up,single,2026-02-13 18:43:59.3290000
750,6610490691f72e42aa124c90,1757.300000000745,1757.300000000745,1,26,right-3,left,right-dark,dark-up,fewer-up,single,2026-02-13 18:44:01.5880000
751,6610490691f72e42aa124c90,1576.6000000014901,1576.6000000014901,1,27,right-3,right,right-dark,dark-up,greater-up,single,2026-02-13 18:44:03.6660000
752,6610490691f72e42aa124c90,1904.9000000022352,1904.9000000022352,1,28,right-7,left,right-dark,dark-up,fewer-up,single,2026-02-13 18:44:06.0730000
753,6610490691f72e42aa124c90,1718.699999999255,1718.699999999255,1,29,right-4,left,right-dark,dark-up,fewer-up,single,2026-02-13 18:44:08.2940000
754,6610490691f72e42aa124c90,1662.8999999985099,1662.8999999985099,1,30,left-8,right,left-dark,light-up,greater-up,single,2026-02-13 18:44:10.4580000
755,6610490691f72e42aa124c90,1483.199999999255,1483.199999999255,1,31,right-1,right,right-dark,dark-up,greater-up,single,2026-02-13 18:44:12.4430000
756,6610490691f72e42aa124c90,1301.4000000022352,1301.4000000022352,1,32,right-7,right,right-dark,dark-up,greater-up,single,2026-02-13 18:44:14.2460000
757,6610490691f72e42aa124c90,1810,1810,1,33,right-4,left,right-dark,light-up,greater-up,single,2026-02-13 18:44:16.5580000
