id,participant_id,hit,miss,false_alarm,correct_rejection,created_at
50,5af3c4e197a14300017d3f49,9,2,1,16,2026-02-24 21:06:01.5959189
51,698c90b171f1b60311ee5009,15,0,0,12,2026-02-24 21:09:02.3285726
52,667ef3c6b1ce7f18e774b31b,11,1,2,14,2026-02-24 21:16:37.4864975
53,66465c850d9a3e177f2649fa,8,0,0,15,2026-02-24 21:21:33.5966636
54,6738bbb49b751f21694bb4af,36,0,0,41,2026-02-24 21:29:44.3009459
55,676f2ff678d74407b518207d,9,0,0,16,2026-02-24 21:40:37.9375148
56,6785704c3b1ab8813a4958b0,8,0,0,18,2026-02-24 22:36:55.2094683
57,5ba1beaecc5dd00001673e39,12,0,0,17,2026-02-24 22:50:29.5320871
58,5d42486206811e001ada5b4b,0,6,0,21,2026-02-24 22:59:29.8569590
59,5b5c8d4e10aec90001ed4bee,6,0,0,12,2026-02-25 01:05:29.1892049
