id,participant_id,duration,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
8317,5e52d0122f5f952f2a7b6b28,2581.099999964237,2581.099999964237,1,0,left-6,right,left-dark,dark-up,fewer-up,single,2026-02-26 17:12:07.2450000
8318,5e52d0122f5f952f2a7b6b28,2915,2915,1,1,left-7,left,left-dark,light-up,fewer-up,single,2026-02-26 17:12:10.6630000
8319,5e52d0122f5f952f2a7b6b28,1495.800000011921,1495.800000011921,1,2,left-8,right,left-dark,light-up,greater-up,single,2026-02-26 17:12:12.6690000
8320,5e52d0122f5f952f2a7b6b28,1232.3999999761581,1232.3999999761581,1,3,left-1,left,left-dark,light-up,fewer-up,single,2026-02-26 17:12:14.4050000
8321,5e52d0122f5f952f2a7b6b28,856.3999999761581,856.3999999761581,1,4,left-7,left,left-dark,dark-up,greater-up,single,2026-02-26 17:12:15.7650000
8322,5e52d0122f5f952f2a7b6b28,1276.5999999642372,1276.5999999642372,1,5,right-1,right,right-dark,light-up,fewer-up,single,2026-02-26 17:12:17.5490000
8323,5e52d0122f5f952f2a7b6b28,817.8999999761581,817.8999999761581,1,6,left-8,left,left-dark,dark-up,greater-up,single,2026-02-26 17:12:18.8700000
8324,5e52d0122f5f952f2a7b6b28,646.1999999880791,646.1999999880791,1,7,right-5,right,right-dark,dark-up,greater-up,single,2026-02-26 17:12:20.0300000
8325,5e52d0122f5f952f2a7b6b28,715.8000000119209,715.8000000119209,1,8,right-4,right,right-dark,dark-up,greater-up,single,2026-02-26 17:12:21.2620000
8326,5e52d0122f5f952f2a7b6b28,744.6999999880791,744.6999999880791,1,9,right-3,right,right-dark,dark-up,greater-up,single,2026-02-26 17:12:22.5110000
8327,5e52d0122f5f952f2a7b6b28,1012.6999999880791,1012.6999999880791,1,10,right-5,left,right-dark,dark-up,fewer-up,single,2026-02-26 17:12:24.0310000
8328,5e52d0122f5f952f2a7b6b28,1057.699999988079,1057.699999988079,1,11,left-2,left,left-dark,light-up,fewer-up,single,2026-02-26 17:12:25.5910000
8329,5e52d0122f5f952f2a7b6b28,762.9000000357628,762.9000000357628,1,12,right-8,right,right-dark,dark-up,greater-up,single,2026-02-26 17:12:26.8610000
8330,5e52d0122f5f952f2a7b6b28,795.5,795.5,1,13,left-5,left,left-dark,light-up,fewer-up,single,2026-02-26 17:12:28.1650000
8331,5e52d0122f5f952f2a7b6b28,1525.5,1525.5,1,14,right-5,left,right-dark,light-up,greater-up,single,2026-02-26 17:12:30.1970000
8332,5e52d0122f5f952f2a7b6b28,1034.5999999642372,1034.5999999642372,1,15,left-3,left,left-dark,light-up,fewer-up,single,2026-02-26 17:12:31.7350000
8333,5e52d0122f5f952f2a7b6b28,850.5,850.5,1,16,right-6,right,right-dark,light-up,fewer-up,single,2026-02-26 17:12:33.1010000
8334,5e52d0122f5f952f2a7b6b28,1374.9000000357628,1374.9000000357628,1,17,left-4,right,left-dark,light-up,greater-up,single,2026-02-26 17:12:34.9890000
8335,5e52d0122f5f952f2a7b6b28,700.3999999761581,700.3999999761581,1,18,left-3,right,left-dark,light-up,greater-up,single,2026-02-26 17:12:36.2050000
8336,5e52d0122f5f952f2a7b6b28,803.3999999761581,803.3999999761581,1,19,left-4,left,left-dark,dark-up,greater-up,single,2026-02-26 17:12:37.5170000
8337,5e52d0122f5f952f2a7b6b28,1774,1774,1,20,right-9,left,right-dark,light-up,greater-up,single,2026-02-26 17:12:42.0830000
8338,5e52d0122f5f952f2a7b6b28,1134.0999999642372,1134.0999999642372,1,21,left-0,right,left-dark,dark-up,fewer-up,single,2026-02-26 17:12:43.7330000
8339,5e52d0122f5f952f2a7b6b28,1039.699999988079,1039.699999988079,1,22,left-2,right,left-dark,light-up,greater-up,single,2026-02-26 17:12:45.2770000
8340,5e52d0122f5f952f2a7b6b28,848.5999999642372,848.5999999642372,1,23,right-8,left,right-dark,light-up,greater-up,single,2026-02-26 17:12:46.6300000
8341,5e52d0122f5f952f2a7b6b28,976.6999999880791,976.6999999880791,1,24,right-1,left,right-dark,dark-up,fewer-up,single,2026-02-26 17:12:48.1180000
8342,5e52d0122f5f952f2a7b6b28,1239.800000011921,1239.800000011921,1,25,left-3,left,left-dark,dark-up,greater-up,single,2026-02-26 17:12:49.8690000
8343,5e52d0122f5f952f2a7b6b28,1433.3999999761581,1433.3999999761581,1,26,right-1,left,right-dark,light-up,greater-up,single,2026-02-26 17:12:51.8130000
8344,5e52d0122f5f952f2a7b6b28,754,754,1,27,left-0,left,left-dark,dark-up,greater-up,single,2026-02-26 17:12:53.0710000
8345,5e52d0122f5f952f2a7b6b28,849.1999999880791,849.1999999880791,1,28,left-7,right,left-dark,light-up,greater-up,single,2026-02-26 17:12:54.4370000
8346,5e52d0122f5f952f2a7b6b28,997.8999999761581,997.8999999761581,1,29,right-5,right,right-dark,light-up,fewer-up,single,2026-02-26 17:12:55.9490000
8347,5e52d0122f5f952f2a7b6b28,2214.5,2214.5,1,30,left-3,right,left-dark,dark-up,fewer-up,single,2026-02-26 17:12:58.6690000
8348,5e52d0122f5f952f2a7b6b28,934.5999999642372,934.5999999642372,1,31,right-9,left,right-dark,dark-up,fewer-up,single,2026-02-26 17:13:00.1170000
8349,5e52d0122f5f952f2a7b6b28,773.1999999880791,773.1999999880791,1,32,right-3,left,right-dark,dark-up,fewer-up,single,2026-02-26 17:13:01.3970000
8350,5e52d0122f5f952f2a7b6b28,854.5,854.5,1,33,left-6,right,left-dark,light-up,greater-up,single,2026-02-26 17:13:02.7650000
8351,5e52d0122f5f952f2a7b6b28,1004.7999999523163,1004.7999999523163,1,34,left-9,left,left-dark,light-up,fewer-up,single,2026-02-26 17:13:04.2790000
8352,5e52d0122f5f952f2a7b6b28,996.8999999761581,996.8999999761581,1,35,left-1,right,left-dark,light-up,greater-up,single,2026-02-26 17:13:05.7890000
8353,5e52d0122f5f952f2a7b6b28,1552,1552,1,36,right-4,left,right-dark,light-up,greater-up,single,2026-02-26 17:13:07.8460000
8354,5e52d0122f5f952f2a7b6b28,925.5,925.5,1,37,right-0,right,right-dark,light-up,fewer-up,single,2026-02-26 17:13:09.2780000
8355,5e52d0122f5f952f2a7b6b28,783.8999999761581,783.8999999761581,1,38,right-2,right,right-dark,dark-up,greater-up,single,2026-02-26 17:13:10.5760000
8356,5e52d0122f5f952f2a7b6b28,675.3999999761581,675.3999999761581,1,39,right-0,right,right-dark,dark-up,greater-up,single,2026-02-26 17:13:11.7670000
8357,5e52d0122f5f952f2a7b6b28,1266.8999999761581,1266.8999999761581,1,40,left-9,right,left-dark,dark-up,fewer-up,single,2026-02-26 17:13:16.7650000
8358,5e52d0122f5f952f2a7b6b28,931.5,931.5,1,41,right-9,right,right-dark,dark-up,greater-up,single,2026-02-26 17:13:18.2130000
8359,5e52d0122f5f952f2a7b6b28,692.3999999761581,692.3999999761581,0,42,right-2,right,right-dark,light-up,greater-up,single,2026-02-26 17:13:19.4130000
8360,5e52d0122f5f952f2a7b6b28,1020.5,1020.5,0,43,left-5,left,left-dark,dark-up,fewer-up,single,2026-02-26 17:13:21.9580000
8361,5e52d0122f5f952f2a7b6b28,1159.2000000476837,1159.2000000476837,1,44,left-9,left,left-dark,dark-up,greater-up,single,2026-02-26 17:13:24.6370000
8362,5e52d0122f5f952f2a7b6b28,767.9000000357628,767.9000000357628,1,45,right-1,right,right-dark,dark-up,greater-up,single,2026-02-26 17:13:25.9190000
8363,5e52d0122f5f952f2a7b6b28,743.1999999880791,743.1999999880791,1,46,left-5,right,left-dark,light-up,greater-up,single,2026-02-26 17:13:27.1650000
8364,5e52d0122f5f952f2a7b6b28,896.1999999880791,896.1999999880791,1,47,right-6,left,right-dark,dark-up,fewer-up,single,2026-02-26 17:13:28.5730000
8365,5e52d0122f5f952f2a7b6b28,725.5999999642372,725.5999999642372,0,48,left-6,right,left-dark,light-up,fewer-up,single,2026-02-26 17:13:29.8130000
