Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69a06d30db055867aa001e04,662bf98a6f25e5ccdce46ebc,APPROVED,Not Applicable,2026-02-26T15:56:38.913000Z,2026-02-26T19:10:41.741000Z,2026-02-26T19:10:41.985000Z,2026-02-26T19:10:42.109123Z,11643.0,Manual Completion,6046,Woman (including Trans Female/Trans Woman),White,73,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a0724ee622943d8e2dd95c,64fb30365bea2333e0da11ee,APPROVED,Not Applicable,2026-02-26T16:18:27.017000Z,2026-02-26T19:18:31.392000Z,2026-02-26T19:18:31.628000Z,2026-02-26T19:18:31.757590Z,10805.0,Manual Completion,891,Man (including Trans Male/Trans Man),White,33,Male,White,United States,United States,United States,English,No,Part-Time
69a07714048a0090186b9a43,608209b96e955ba5201eff25,APPROVED,Not Applicable,2026-02-26T16:38:48.067000Z,2026-02-26T19:11:34.405000Z,2026-02-26T19:11:34.630000Z,2026-02-26T19:11:34.742840Z,9167.0,Manual Completion,4929,Non-binary (would like to give more detail),White,24,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69a07b8014cafca76fb62b5a,607dc630d2d30aa7e8699c23,APPROVED,Not Applicable,2026-02-26T16:57:44.060000Z,2026-02-26T19:09:22.153000Z,2026-02-26T19:09:22.367000Z,2026-02-26T19:09:22.478649Z,7899.0,Manual Completion,8930,Man (including Trans Male/Trans Man),White,35,Male,White,Poland,United States,United States,Polish,No,Full-Time
69a07c71e4a5896fcf1d4b12,698bf7df3e0b8e83634158c4,APPROVED,Not Applicable,2026-02-26T17:02:43.321000Z,2026-02-26T22:11:38.223000Z,2026-02-26T22:11:38.593000Z,2026-02-26T22:11:38.730799Z,18535.0,Manual Completion,68,Man (including Trans Male/Trans Man),White,36,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a07e58d4933ab66fd813e7,6123d102b713b8a947fd2eb2,APPROVED,Not Applicable,2026-02-26T17:09:50.122000Z,2026-02-26T17:17:54.780000Z,2026-03-02T20:42:28.137000Z,2026-02-26T17:17:55.146656Z,485.0,COP6XTA3,9661,Man (including Trans Male/Trans Man),White,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a07e7ff0f821c18e099ac5,5e52d0122f5f952f2a7b6b28,APPROVED,Not Applicable,2026-02-26T17:10:25.675000Z,2026-02-26T17:14:55.159000Z,2026-03-02T20:42:28.402000Z,2026-02-26T17:14:55.478851Z,270.0,COP6XTA3,5866,Man (including Trans Male/Trans Man),Mixed,41,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
69a07ed2bc57531c32e955d4,645179915e31c1aeb3dc8129,APPROVED,Not Applicable,2026-02-26T17:11:53.875000Z,2026-02-26T17:17:45.285000Z,2026-03-02T20:42:28.697000Z,2026-02-26T17:17:45.644751Z,352.0,COP6XTA3,8545,Man (including Trans Male/Trans Man),White,62,Male,White,United States,United States,United States,English,No,Full-Time
69a08034091a812b137e88be,63f26616270b0ad6ba923ac1,APPROVED,Not Applicable,2026-02-26T17:17:44.193000Z,2026-02-26T17:29:00.688000Z,2026-03-02T20:42:28.992000Z,2026-02-26T17:29:01.024878Z,677.0,COP6XTA3,1234,Man (including Trans Male/Trans Man),Mixed,27,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
69a08038c8fdab4c1c953136,673a37f0ad04c995c8322ca6,APPROVED,Not Applicable,2026-02-26T17:17:51.977000Z,2026-02-26T17:24:43.323000Z,2026-03-02T20:42:29.263000Z,2026-02-26T17:24:43.797714Z,412.0,COP6XTA3,2812,Man (including Trans Male/Trans Man),East Asian,31,Male,Asian,Singapore,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a081099790de36f330de16,56e6a66af6ed900006a5867c,APPROVED,Not Applicable,2026-02-26T17:21:13.189000Z,2026-02-26T17:27:28.583000Z,2026-03-02T20:42:29.549000Z,2026-02-26T17:27:28.946390Z,376.0,COP6XTA3,14266,Man (including Trans Male/Trans Man),White,45,Male,White,United States,United States,United States,English,No,Part-Time
69a08233751239c19f3c9213,6997be27e376b1f7355cb8bb,APPROVED,Not Applicable,2026-02-26T17:26:14.298000Z,2026-02-26T17:31:33.060000Z,2026-03-02T20:42:29.911000Z,2026-02-26T17:31:33.397990Z,319.0,COP6XTA3,64,Man (including Trans Male/Trans Man),White,22,Male,White,United States,United States,United States,English,No,Full-Time
69a0851f605e353f811d915c,5758a78d768081000631a322,APPROVED,Not Applicable,2026-02-26T17:40:42.678000Z,2026-02-26T17:51:24.132000Z,2026-03-02T20:42:30.243000Z,2026-02-26T17:51:24.534074Z,642.0,COP6XTA3,9935,Woman (including Trans Female/Trans Woman),White,57,Female,White,United States,United States,United States,English,No,Part-Time
69a08575ad6afe8b53165cfe,5ee92b925f0f482bb1e73668,APPROVED,Not Applicable,2026-02-26T17:40:24.649000Z,2026-02-26T17:47:11.970000Z,2026-03-02T20:42:30.504000Z,2026-02-26T17:47:12.314231Z,408.0,COP6XTA3,10662,Man (including Trans Male/Trans Man),Latino/Hispanic,47,Male,White,United States,United States,United States,English,No,Full-Time
69a085d50d9cc5997810fd40,5dabd2828a78c7001c59eb82,APPROVED,Not Applicable,2026-02-26T17:41:46.596000Z,2026-02-26T17:45:08.876000Z,2026-03-02T20:42:30.749000Z,2026-02-26T17:45:09.235471Z,203.0,COP6XTA3,3520,Woman (including Trans Female/Trans Woman),White,29,Female,White,United States,United States,United States,English,No,Full-Time
69a08644cc335fa7f3c2ee7c,699389f6845fe709081f515c,APPROVED,Not Applicable,2026-02-26T17:45:11.877000Z,2026-02-26T17:52:42.985000Z,2026-03-02T20:42:31.016000Z,2026-02-26T17:52:43.325285Z,452.0,COP6XTA3,60,Woman (including Trans Female/Trans Woman),Mixed,19,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
69a086780e37d8f1b25ab9ab,6745f73ee7541460adbabcff,APPROVED,Not Applicable,2026-02-26T17:44:39.998000Z,2026-02-26T17:54:10.138000Z,2026-03-02T20:42:31.326000Z,2026-02-26T17:54:10.502833Z,571.0,COP6XTA3,2249,Woman (including Trans Female/Trans Woman),Black/African American,46,Female,Black,United States,United States,United States,English,Yes,Full-Time
69a087235e92b79683e059a0,574cca765e5491000f3c89e0,APPROVED,Not Applicable,2026-02-26T17:47:23.094000Z,2026-02-26T17:58:16.504000Z,2026-03-02T20:42:31.626000Z,2026-02-26T17:58:16.939347Z,654.0,COP6XTA3,6472,Man (including Trans Male/Trans Man),White,64,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a08732a8d68f155d07cd3a,694c8151e3b8d71d1a2a7f4f,APPROVED,Not Applicable,2026-02-26T17:47:36.295000Z,2026-02-26T17:55:27.980000Z,2026-03-02T20:42:31.915000Z,2026-02-26T17:55:28.336115Z,472.0,COP6XTA3,248,Woman (including Trans Female/Trans Woman),White,48,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a0897be230f2078e312ffb,695faf0ec3b7fbbbf7da9910,APPROVED,Not Applicable,2026-02-26T17:57:23.462000Z,2026-02-26T18:04:36.873000Z,2026-03-02T20:42:32.290000Z,2026-02-26T18:04:37.232251Z,434.0,COP6XTA3,314,Woman (including Trans Female/Trans Woman),White,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a08a77267d08e9a3082cb6,63e554b7631c8ec3ce069e32,APPROVED,Not Applicable,2026-02-26T18:01:30.969000Z,2026-02-26T18:07:11.935000Z,2026-03-02T20:42:32.702000Z,2026-02-26T18:07:12.283194Z,341.0,COP6XTA3,4772,Man (including Trans Male/Trans Man),East Asian,48,Male,Asian,Lao People's Democratic Republic,United States,United States,Laotian,No,Unemployed (and job seeking)
69a08ae7a5607d9b1b604282,676ed8014625d5ebd417b5f2,APPROVED,Not Applicable,2026-02-26T18:03:25.144000Z,2026-02-26T18:12:52.633000Z,2026-03-02T20:42:33.085000Z,2026-02-26T18:12:53.007666Z,568.0,COP6XTA3,8525,Woman (including Trans Female/Trans Woman),White,60,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69a08cb2c91a791e90bb861a,67c1d6d98c8787be36609212,APPROVED,Not Applicable,2026-02-26T18:11:01.945000Z,2026-02-26T18:22:56.003000Z,2026-03-02T20:42:33.562000Z,2026-02-26T18:22:56.393921Z,715.0,COP6XTA3,3319,Woman (including Trans Female/Trans Woman),White,57,Female,White,United States,United States,United States,English,No,Other
69a08da1cf70b0f5551a5afe,5f218f86a3a5b05784d9d371,APPROVED,Not Applicable,2026-02-26T18:15:00.149000Z,2026-02-26T18:22:15.011000Z,2026-03-02T20:42:33.956000Z,2026-02-26T18:22:15.364607Z,435.0,COP6XTA3,7386,Woman (including Trans Female/Trans Woman),White,37,Female,White,United States,United States,United States,English,No,Full-Time
69a08dade79148da50b51fc0,632b9d9bc38454f47019295c,APPROVED,Not Applicable,2026-02-26T18:15:43.028000Z,2026-02-26T18:25:26.549000Z,2026-03-02T20:42:34.236000Z,2026-02-26T18:25:26.915953Z,584.0,COP6XTA3,5962,Man (including Trans Male/Trans Man),White,47,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a08e0f51bff22542b99a09,5cb62e9293342300017a72a1,APPROVED,Not Applicable,2026-02-26T18:18:55.535000Z,2026-02-26T18:25:30.138000Z,2026-03-02T20:42:34.525000Z,2026-02-26T18:25:30.519495Z,395.0,COP6XTA3,7198,Man (including Trans Male/Trans Man),Latino/Hispanic,35,Male,White,United States,United States,United States,English,No,Full-Time
69a08e709c635209410384a3,69952cbd4aac65ccd088d008,APPROVED,Not Applicable,2026-02-26T18:18:27.335000Z,2026-02-26T18:32:38.886000Z,2026-03-02T20:42:34.843000Z,2026-02-26T18:32:39.242470Z,852.0,COP6XTA3,112,Man (including Trans Male/Trans Man),Black/African American,37,Male,Black,United States,United States,United States,English,No,Full-Time
69a08e87ce1a52007fb602bc,63fad8b20e532757a496f7f5,APPROVED,Not Applicable,2026-02-26T18:25:31.959000Z,2026-02-26T18:36:04.375000Z,2026-03-02T20:42:35.241000Z,2026-02-26T18:36:04.728431Z,633.0,COP6XTA3,4949,Man (including Trans Male/Trans Man),East Asian,56,Male,Asian,United States,United States,United States,English,No,Full-Time
69a08ef475d996dd932e052e,66e9cc5fb04f5ba6d8b5a3f1,APPROVED,Not Applicable,2026-02-26T18:20:41.454000Z,2026-02-26T18:28:42.895000Z,2026-03-02T20:42:35.563000Z,2026-02-26T18:28:43.261297Z,482.0,COP6XTA3,8099,Man (including Trans Male/Trans Man),White,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a08ef943dd568e6aa91b93,63d1c79ff86ec609af6f77ad,APPROVED,Not Applicable,2026-02-26T18:20:41.216000Z,2026-02-26T18:28:08.128000Z,2026-03-02T20:42:36.037000Z,2026-02-26T18:28:08.588463Z,447.0,COP6XTA3,1442,Man (including Trans Male/Trans Man),Latino/Hispanic,25,Male,Mixed,United States,United States,United States,Spanish,Yes,Unemployed (and job seeking)
69a08f7264b555dd5a6b5b27,5a6f57166923df0001ef8d02,APPROVED,Not Applicable,2026-02-26T18:22:54.669000Z,2026-02-26T18:29:09.815000Z,2026-03-02T20:42:36.349000Z,2026-02-26T18:29:10.220167Z,376.0,COP6XTA3,5286,Woman (including Trans Female/Trans Woman),White,42,Female,White,United States,United States,United States,English,No,Full-Time
69a091ac4bbd700d013070ab,63ecff07b619306f41db42fa,APPROVED,Not Applicable,2026-02-26T18:32:27.240000Z,2026-02-26T18:38:16.509000Z,2026-03-02T20:42:36.676000Z,2026-02-26T18:38:16.884852Z,350.0,COP6XTA3,6420,Man (including Trans Male/Trans Man),White,35,Male,White,United States,United States,United States,English,No,Full-Time
69a0930f28730ce69a9f1e30,616cf9ae07c1c6bd05d95beb,APPROVED,Not Applicable,2026-02-26T18:38:13.450000Z,2026-02-26T18:46:33.892000Z,2026-03-02T20:42:37.022000Z,2026-02-26T18:46:34.250785Z,501.0,COP6XTA3,12902,Man (including Trans Male/Trans Man),White,50,Male,White,United States,United States,United States,English,No,Full-Time
69a096f7c0c4a089e666a1f0,64badb09518eb5b219132eea,APPROVED,Not Applicable,2026-02-26T18:54:52.579000Z,2026-02-26T19:05:17.659000Z,2026-03-02T20:42:37.371000Z,2026-02-26T19:05:18.395499Z,626.0,COP6XTA3,4949,Man (including Trans Male/Trans Man),White,44,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a09702c23ae26f4a6b575f,5f4a835e9e84256238129995,APPROVED,Not Applicable,2026-02-26T18:55:01.453000Z,2026-02-26T19:00:31.477000Z,2026-03-02T20:42:37.676000Z,2026-02-26T19:00:31.814077Z,331.0,COP6XTA3,4533,Woman (including Trans Female/Trans Woman),White,35,Female,White,United States,United States,United States,English,No,Full-Time
69a0971191f39a28831d912a,67cf0868690037aa2997bdab,APPROVED,Not Applicable,2026-02-26T18:55:40.574000Z,2026-02-26T19:14:57.943000Z,2026-03-02T20:42:37.981000Z,2026-02-26T19:14:58.300009Z,1158.0,COP6XTA3,335,Woman (including Trans Female/Trans Woman),Black/African American,34,Female,Black,United States,United States,United States,English,No,Full-Time
69a097c1f52b9b8db2265390,696947c3dafb0ce06c00cbb1,APPROVED,Not Applicable,2026-02-26T18:58:13.547000Z,2026-02-26T19:02:39.034000Z,2026-03-02T20:42:38.246000Z,2026-02-26T19:02:39.376573Z,266.0,COP6XTA3,442,Man (including Trans Male/Trans Man),White,21,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
69a097fa518b258b829e7cb6,671d48efd49c25986a82bd89,APPROVED,Not Applicable,2026-02-26T18:59:10.899000Z,2026-02-26T19:05:11.279000Z,2026-03-02T20:42:38.592000Z,2026-02-26T19:05:11.633781Z,361.0,COP6XTA3,42,Rather not say,White,47,Female,White,United States,United States,United States,English,No,Part-Time
69a099a0151afbca482e0548,665cbb56d9ecb20564b9b607,APPROVED,Not Applicable,2026-02-26T19:06:11.353000Z,2026-02-26T19:12:00.495000Z,2026-03-02T20:42:38.849000Z,2026-02-26T19:12:00.881770Z,350.0,COP6XTA3,3964,Woman (including Trans Female/Trans Woman),White,49,Female,White,United States,United States,United States,English,No,Full-Time
69a099d5296f502299ff5b6c,6634f3529f3dc58a0bf22552,APPROVED,Not Applicable,2026-02-26T19:07:04.868000Z,2026-02-26T19:18:16.468000Z,2026-03-02T20:42:39.164000Z,2026-02-26T19:18:16.831229Z,672.0,COP6XTA3,2360,Woman (including Trans Female/Trans Woman),White,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a09bbb8a18bd1a1bcf7adf,665b7b047373d8da553237a6,APPROVED,Not Applicable,2026-02-26T19:15:11.128000Z,2026-02-26T19:24:32.025000Z,2026-03-02T20:42:39.578000Z,2026-02-26T19:24:32.381055Z,561.0,COP6XTA3,8356,Man (including Trans Male/Trans Man),East Asian,26,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
69a09bd769b70fb0a2e7970e,63cee08c60670525b4f43946,APPROVED,Not Applicable,2026-02-26T19:15:56.824000Z,2026-02-26T19:20:53.230000Z,2026-03-02T20:42:39.903000Z,2026-02-26T19:20:53.584082Z,297.0,COP6XTA3,2137,Woman (including Trans Female/Trans Woman),White,35,Female,White,United States,United States,United States,English,No,Part-Time
69a09be784b5e24062a43867,677180f70e024d29940222d9,APPROVED,Not Applicable,2026-02-26T19:16:24.502000Z,2026-02-26T19:25:37.315000Z,2026-03-02T20:42:40.245000Z,2026-02-26T19:25:37.665838Z,553.0,COP6XTA3,2895,Woman (including Trans Female/Trans Woman),White,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
69a09c310ccdd95232b6c894,601b75077aa0425330b81e36,APPROVED,Not Applicable,2026-02-26T19:17:08.274000Z,2026-02-26T19:27:36.202000Z,2026-03-02T20:42:40.573000Z,2026-02-26T19:27:36.572787Z,628.0,COP6XTA3,10322,Man (including Trans Male/Trans Man),White,73,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a09c32df02a431061865e6,63268ad93b6ecc1acf782a21,APPROVED,Not Applicable,2026-02-26T19:17:10.880000Z,2026-02-26T19:23:24.077000Z,2026-03-02T20:42:40.849000Z,2026-02-26T19:23:24.431697Z,374.0,COP6XTA3,6311,Man (including Trans Male/Trans Man),White,32,Male,White,United States,United States,United States,English,No,Full-Time
69a09d98b535795e592d86e4,5ccf2abd37095c001a78cef6,APPROVED,Not Applicable,2026-02-26T19:23:08.463000Z,2026-02-26T19:27:25.776000Z,2026-03-02T20:42:41.125000Z,2026-02-26T19:27:26.138211Z,258.0,COP6XTA3,536,Woman (including Trans Female/Trans Woman),East Asian,25,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
69a09e88f1cbc95fc38ab5c3,66aa52de62c06e01a958d91c,APPROVED,Not Applicable,2026-02-26T19:33:06.047000Z,2026-02-26T19:40:08.446000Z,2026-03-02T20:42:41.411000Z,2026-02-26T19:40:08.813230Z,423.0,COP6XTA3,1462,Man (including Trans Male/Trans Man),Black/African American,24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a09efd22851cfb54495f62,5bef41fa54277d000114d6ad,APPROVED,Not Applicable,2026-02-26T19:29:05.510000Z,2026-02-26T19:34:09.841000Z,2026-03-02T20:42:41.753000Z,2026-02-26T19:34:10.180391Z,305.0,COP6XTA3,12931,Man (including Trans Male/Trans Man),White,29,Male,White,United States,United States,United States,English,Yes,Full-Time
69a09f0ecdc96c282ef3b647,5a0f46bb7542890001aa7503,APPROVED,Not Applicable,2026-02-26T19:29:21.737000Z,2026-02-26T19:34:42.410000Z,2026-03-02T20:42:42.053000Z,2026-02-26T19:34:42.761075Z,321.0,COP6XTA3,1305,Man (including Trans Male/Trans Man),White,40,Male,White,United States,United States,United States,English,No,Full-Time
69a09ffc546b7c25f51cb691,6711e09a6906af2fa5b782bd,APPROVED,Not Applicable,2026-02-26T19:33:41.078000Z,2026-02-26T19:39:25.178000Z,2026-03-02T20:42:42.309000Z,2026-02-26T19:39:25.531229Z,345.0,COP6XTA3,2493,Woman (including Trans Female/Trans Woman),White,33,Female,White,United States,United States,United States,English,Yes,Full-Time
69a0a0754d2114a25883964e,60284b049e884437b220b172,APPROVED,Not Applicable,2026-02-26T19:35:22.695000Z,2026-02-26T19:44:02.565000Z,2026-03-02T20:42:43.227000Z,2026-02-26T19:44:02.943661Z,520.0,COP6XTA3,5631,Woman (including Trans Female/Trans Woman),White,47,Female,White,United States,United States,United States,English,No,Other
69a0a0815b38d8d47d99f829,6734c699d11234d19b0be0ec,APPROVED,Not Applicable,2026-02-26T19:35:33.464000Z,2026-02-26T19:45:22.922000Z,2026-03-02T20:42:43.517000Z,2026-02-26T19:45:23.253126Z,590.0,COP6XTA3,3529,Man (including Trans Male/Trans Man),White,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69a0a107ba6366e4576d4c5d,5f17553ce0feb10c3dd2b16a,APPROVED,Not Applicable,2026-02-26T19:37:49.439000Z,2026-02-26T19:45:12.960000Z,2026-03-02T20:42:43.793000Z,2026-02-26T19:45:13.524859Z,444.0,COP6XTA3,7145,Woman (including Trans Female/Trans Woman),White,54,Female,White,United States,United States,United States,English,No,Part-Time
69a0a1dabbf9f65ce3821163,69864b91db1f8e065b805468,APPROVED,Not Applicable,2026-02-26T19:42:36.646000Z,2026-02-26T19:48:04.647000Z,2026-03-02T20:42:44.068000Z,2026-02-26T19:48:04.986861Z,329.0,COP6XTA3,266,Non-binary (would like to give more detail),Black/African American,33,Prefer not to say,Black,United States,United States,United States,English,No,Other
69a0a258df8d31d5020384b9,66d8790772c9e0e4ee96259c,APPROVED,Not Applicable,2026-02-26T19:43:25.236000Z,2026-02-26T19:50:56.595000Z,2026-03-02T20:42:44.436000Z,2026-02-26T19:50:56.982087Z,452.0,COP6XTA3,8810,Man (including Trans Male/Trans Man),White,45,Male,White,United States,United States,United States,English,No,Full-Time
69a0a2c2926ab1b8c5a0fdb1,65b50fa832c828a13f2aa884,APPROVED,Not Applicable,2026-02-26T19:45:09.948000Z,2026-02-26T19:49:46.427000Z,2026-03-02T20:42:44.897000Z,2026-02-26T19:49:46.786969Z,277.0,COP6XTA3,849,Man (including Trans Male/Trans Man),White,20,Male,White,United States,United States,United States,English,Yes,Part-Time
69a0a2cde8d7c84c51743642,67a62f17a81104f3f22f32e8,APPROVED,Not Applicable,2026-02-26T19:45:22.788000Z,2026-02-26T19:50:18.216000Z,2026-03-02T20:42:45.177000Z,2026-02-26T19:50:18.570611Z,296.0,COP6XTA3,4179,Man (including Trans Male/Trans Man),Mixed,46,Male,Mixed,United States,United States,United States,English,No,Full-Time
69a0a2d2e01c11caca641b27,67dc5b2e098a6ddc6eda0acd,APPROVED,Not Applicable,2026-02-26T19:45:28.239000Z,2026-02-26T19:51:25.906000Z,2026-03-02T20:42:45.514000Z,2026-02-26T19:51:26.240993Z,358.0,COP6XTA3,2121,Woman (including Trans Female/Trans Woman),White,30,Female,White,United States,United States,United States,English,No,Full-Time
69a0a2d499a6223872cd1583,63c047ef36e1348b19bb8010,APPROVED,Not Applicable,2026-02-26T19:51:10.673000Z,2026-02-26T20:01:45.426000Z,2026-03-02T20:42:45.781000Z,2026-02-26T20:01:45.775537Z,635.0,COP6XTA3,5092,Woman (including Trans Female/Trans Woman),White,39,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
