id,participant_id,practice_accuracy,practice_accuracy_phone,hit,miss,false_alarm,correct_rejection
1,jihotesting,1,1,NULL,NULL,NULL,NULL
2,jihotesting,1,1,NULL,NULL,NULL,NULL
3,jihotester,1,0.8571428571428571,NULL,NULL,NULL,NULL
4,testing,0.9,0.6551724137931034,NULL,NULL,NULL,NULL
5,testing,0.95,1,NULL,NULL,NULL,NULL
6,jihotester,0.9,1,NULL,NULL,NULL,NULL
7,jihotester,1,0.8666666666666667,NULL,NULL,NULL,NULL
8,testing,1,0.8823529411764706,NULL,NULL,NULL,NULL
9,testing,0.6,0.74,NULL,NULL,NULL,NULL
10,testing,0.9,0.9130434782608695,NULL,NULL,NULL,NULL
11,jihotester,1,0.9047619047619048,NULL,NULL,NULL,NULL
12,testing,0.85,0.9411764705882353,NULL,NULL,NULL,NULL
13,testing,1,0.875,NULL,NULL,NULL,NULL
14,testing,1,1,3,0,0,5
15,finaltest,1,1,2,0,0,6
16,testing,1,1,3,0,0,10
17,testing,0.6,0.8571428571428571,5,2,0,7
18,pilot2,0.9,0.9444444444444444,8,1,0,9
19,pilot1,0.8,1,5,0,0,9
20,finaltest,0.9,1,NULL,NULL,NULL,NULL
21,finaltest2,0.95,1,NULL,NULL,NULL,NULL
22,1111,0.9,0.6551724137931034,2,9,1,17
23,6610490691f72e42aa124c90,0.8,1,NULL,NULL,NULL,NULL
24,5f285dc5b09b3715fa20a14c,0.8,1,NULL,NULL,NULL,NULL
25,5b0481d17ac6e4000107e12a,0.5,0.8181818181818182,5,2,0,4
26,6562177a48308eebbb6359ea,0.95,1,3,0,0,17
27,testing,0.85,1,NULL,NULL,NULL,NULL
28,698651b5bbcfef723824cb98,0.85,0.9285714285714286,3,1,0,10
29,66e8b1b59be9621d5b1ecdb2,0.75,1,7,0,0,12
30,5d1ea7e579b687001af802c6,0.35,0.7142857142857143,0,4,0,10
31,697ed2d83cce3f449a1439f5,1,0.9333333333333333,5,1,0,9
32,62a6c39ce82d993784c0b352,0.6,1,10,0,0,18
33,679023f5b7572e2b6cb86bf7,0.8,0.9411764705882353,10,1,0,6
34,650b03136ab3d4c832d98b71,0.8,0.65,3,6,1,10
35,5d7fd2a5987f70001602d95b,0.95,0.9565217391304348,6,1,0,16
36,60fcbda8909f2ef8e0afa8ca,0.75,1,NULL,NULL,NULL,NULL
37,694180d069557e7a626bbbfc,0.95,1,NULL,NULL,NULL,NULL
38,698a2168ae1740fefdcbb3ba,1,1,NULL,NULL,NULL,NULL
39,630981b0f861918e8174a43e,1,1,NULL,NULL,NULL,NULL
40,659daa1ed4e13d6428103c1f,0.6,0.9486166007905138,90,9,4,150
41,6743e31b8d80b64c6fad696f,0.95,1,NULL,NULL,NULL,NULL
42,65ccca52871269168cc029b5,1,1,NULL,NULL,NULL,NULL
43,5aebbea402d69a0001f1f487,0.75,1,NULL,NULL,NULL,NULL
44,6980e62c2e406af9a4bd1fb0,0.9,1,NULL,NULL,NULL,NULL
45,694cbb08da7aaa317d9c2853,0.9,0.8888888888888888,7,1,1,9
46,5848ad3bdb871400012da095,0.55,0.8518518518518519,8,2,2,15
47,641359b5040c453203e2c088,0.65,0.47058823529411764,0,9,0,8
48,testing,0.95,0.5714285714285714,0,3,0,4
49,testing,1,1,3,0,0,4
50,testing,0.9,0.3333333333333333,0,4,0,2
51,testing,1,1,6,0,0,2
52,testing2,0.95,1,2,0,0,5
53,5c3c1617f5ebd500018596cb,0.8,0.9545454545454546,13,1,0,8
54,62fbdda6e4b5a034b71296f8,0.85,1,9,0,0,9
55,663a8c84b8e7c046d854c8dd,0.75,0.9523809523809523,9,1,0,11
56,67a8d4209cbe02ab001f208a,1,0.9310344827586207,13,0,2,14
57,6754246c81ce61cb6ffe887f,0.35,0.8441558441558441,27,6,6,38
58,67e8aa454848956e5e32c19d,0.65,1,NULL,NULL,NULL,NULL
59,627a65a2439f59544115d476,0.6,1,NULL,NULL,NULL,NULL
60,66aafcc3d4f933f032778877,0.5,1,NULL,NULL,NULL,NULL
61,60dbf4d94a3b5564b68881e8,0.8,0.9285714285714286,3,1,0,10
62,643480e93c33701dfe923abd,0.6,0.9333333333333333,5,1,0,9
63,693f0f6b4c24d768f41c9941,0.95,1,NULL,NULL,NULL,NULL
64,67d8b5e7ceb82869824198a2,0.9,1,NULL,NULL,NULL,NULL
65,675f29c1c465ee80225d15e3,0.9,1,NULL,NULL,NULL,NULL
66,63d176dbaef5e7827cd86954,1,1,NULL,NULL,NULL,NULL
67,675a1c9c5cac55bc951ff999,0.45,0.8108108108108109,12,2,5,18
68,671d553e0d035028da7d29a1,0.85,0.8823529411764706,7,0,2,8
69,695fa9d847aaaf15279b5285,1,1,NULL,NULL,NULL,NULL
70,5e52a7cc53ecf12b883e1e1f,1,1,NULL,NULL,NULL,NULL
71,66e05f2a0ec721282adc76de,0.5,0.9593023255813954,67,6,1,98
72,62ab399e15b98baaf3099d60,0.75,1,NULL,NULL,NULL,NULL
73,testing2,0.6,0.25,0,3,0,1
74,testing2,0.5,0.6,0,2,0,3
75,testing12345,0.6,0.8,0,1,0,4
76,5e7072e5fb136c63e94f3fa4,0.6,1,NULL,NULL,NULL,NULL
77,614dd9c7fe3afb375e947a27,0.7,1,NULL,NULL,NULL,NULL
78,5e9e19d808b9931ef37373c6,0.75,0.9333333333333333,5,1,0,9
79,6706aba2e8cd3166492dd09f,0.9,1,NULL,NULL,NULL,NULL
