id,participant_id,hit,miss,false_alarm,correct_rejection,created_at
4,5b0481d17ac6e4000107e12a,12,0,0,24,2026-02-13 19:55:08.7392919
5,6562177a48308eebbb6359ea,18,2,0,29,2026-02-13 21:05:07.5014173
6,5d1ea7e579b687001af802c6,0,17,0,19,2026-02-13 22:45:59.6402545
7,697ed2d83cce3f449a1439f5,18,2,0,25,2026-02-13 22:46:00.1246229
8,698651b5bbcfef723824cb98,16,1,0,25,2026-02-13 22:46:30.9101704
9,679023f5b7572e2b6cb86bf7,13,5,0,31,2026-02-13 22:47:16.2017785
10,650b03136ab3d4c832d98b71,27,4,1,31,2026-02-13 22:47:50.6920084
11,62a6c39ce82d993784c0b352,37,1,1,43,2026-02-13 22:48:33.2310686
12,659daa1ed4e13d6428103c1f,0,19,0,37,2026-02-13 23:02:29.6972746
13,5848ad3bdb871400012da095,22,0,1,27,2026-02-14 02:52:01.2734710
14,641359b5040c453203e2c088,1,25,0,29,2026-02-14 02:57:59.6171134
16,5c3c1617f5ebd500018596cb,22,2,0,35,2026-02-16 20:41:42.3987842
17,62fbdda6e4b5a034b71296f8,19,0,2,37,2026-02-16 20:45:51.5953232
18,663a8c84b8e7c046d854c8dd,28,0,4,17,2026-02-16 20:45:52.9395237
19,67a8d4209cbe02ab001f208a,24,1,0,32,2026-02-16 20:51:18.1649957
20,6754246c81ce61cb6ffe887f,28,6,1,40,2026-02-16 20:55:12.6868257
21,60dbf4d94a3b5564b68881e8,18,0,2,23,2026-02-16 21:15:27.1517368
22,643480e93c33701dfe923abd,15,1,1,38,2026-02-16 21:16:24.4819824
23,675a1c9c5cac55bc951ff999,31,6,10,24,2026-02-16 21:20:36.9259503
24,671d553e0d035028da7d29a1,21,0,3,26,2026-02-16 21:21:40.0648108
25,66e05f2a0ec721282adc76de,24,1,3,26,2026-02-16 21:53:47.1200873
26,697cb8ffcfbeef0652884528,25,1,0,32,2026-02-17 21:35:27.2788931
27,67325d10b9e0c58d803cd7ba,21,0,2,27,2026-02-17 21:36:49.9872361
28,66dcb77e1afbc2e7fa393b87,12,1,1,32,2026-02-17 21:37:27.6203244
29,5e9e19d808b9931ef37373c6,13,0,0,31,2026-02-17 21:37:28.9332904
30,698e1bdaffae8699322bb097,12,5,1,24,2026-02-17 21:37:56.3139149
31,66305c77f66c14d7ca20647d,34,3,5,43,2026-02-17 21:43:47.4511650
32,67f02740d233a50f479c4e20,0,0,0,0,2026-02-17 21:45:31.4492021
33,638144b112820e51c06fb151,19,3,2,33,2026-02-17 21:46:45.2053338
34,66aa8d04719b0f5ef3433e9c,35,3,2,59,2026-02-17 21:48:08.6115531
35,66343f7910c04370761ae595,24,8,6,33,2026-02-17 21:49:58.7448210
36,631c8e97db06f601f81bd82f,25,0,2,39,2026-02-17 23:59:51.7597272
37,661e47e87d86f5629af43921,16,1,1,23,2026-02-18 00:01:28.2779262
38,5e27727328b7b698b037ee6c,18,1,0,26,2026-02-18 00:02:55.3927952
39,677c5e96582459bcf49e80da,27,7,4,43,2026-02-18 00:04:32.1190546
40,671c5ad0eb30c87c11b22ec4,21,2,2,38,2026-02-18 00:08:00.7902391
41,673d4f9efa7de7d961e6b272,23,1,3,27,2026-02-18 00:27:35.3237376
