id,participant_id,duration,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
7193,5af3c4e197a14300017d3f49,980.5,980.5,1,0,left-3,right,left-dark,light-up,greater-up,single,2026-02-24 21:02:21.0390000
7194,5af3c4e197a14300017d3f49,768.9000000022352,768.9000000022352,0,1,right-0,left,right-dark,dark-up,greater-up,single,2026-02-24 21:02:22.3110000
7195,5af3c4e197a14300017d3f49,744.6999999992549,744.6999999992549,1,2,right-2,right,right-dark,dark-up,greater-up,single,2026-02-24 21:02:24.5740000
7196,5af3c4e197a14300017d3f49,600.5,600.5,1,3,right-0,right,right-dark,light-up,fewer-up,single,2026-02-24 21:02:25.6780000
7197,5af3c4e197a14300017d3f49,637.5999999977648,637.5999999977648,0,4,right-3,right,right-dark,dark-up,fewer-up,single,2026-02-24 21:02:26.8310000
7198,5af3c4e197a14300017d3f49,960.1999999992549,960.1999999992549,1,5,left-2,left,left-dark,light-up,fewer-up,single,2026-02-24 21:02:29.3180000
7199,5af3c4e197a14300017d3f49,1107.5,1107.5,1,6,left-2,right,left-dark,dark-up,fewer-up,single,2026-02-24 21:02:30.9350000
7200,5af3c4e197a14300017d3f49,602.6000000014901,602.6000000014901,0,7,right-4,left,right-dark,light-up,fewer-up,single,2026-02-24 21:02:32.0470000
7201,5af3c4e197a14300017d3f49,556.0999999977648,556.0999999977648,1,8,right-3,left,right-dark,light-up,greater-up,single,2026-02-24 21:02:34.1170000
7202,5af3c4e197a14300017d3f49,762.8000000007451,762.8000000007451,0,9,left-0,right,left-dark,light-up,fewer-up,single,2026-02-24 21:02:35.3900000
7203,5af3c4e197a14300017d3f49,1002.6999999992549,1002.6999999992549,1,10,left-4,left,left-dark,light-up,fewer-up,single,2026-02-24 21:02:37.9120000
7204,5af3c4e197a14300017d3f49,6068.699999999255,6068.699999999255,0,11,left-3,left,left-dark,dark-up,fewer-up,single,2026-02-24 21:02:44.4950000
7205,5af3c4e197a14300017d3f49,637.2000000029802,637.2000000029802,1,12,right-3,right,right-dark,dark-up,greater-up,single,2026-02-24 21:02:46.6630000
7206,5af3c4e197a14300017d3f49,4110.60000000149,4110.60000000149,1,13,right-1,right,right-dark,dark-up,greater-up,single,2026-02-24 21:02:51.2860000
7207,5af3c4e197a14300017d3f49,2310.5,2310.5,0,14,left-4,right,left-dark,dark-up,greater-up,single,2026-02-24 21:02:54.1030000
7208,5af3c4e197a14300017d3f49,3177.300000000745,3177.300000000745,1,15,right-3,right,right-dark,light-up,fewer-up,single,2026-02-24 21:02:58.7890000
7209,5af3c4e197a14300017d3f49,3019.5,3019.5,1,16,left-4,right,left-dark,dark-up,fewer-up,single,2026-02-24 21:03:02.3110000
7210,5af3c4e197a14300017d3f49,1779.199999999255,1779.199999999255,1,17,right-1,left,right-dark,dark-up,fewer-up,single,2026-02-24 21:03:04.6060000
7211,5af3c4e197a14300017d3f49,2670.400000002235,2670.400000002235,0,18,left-1,left,left-dark,dark-up,fewer-up,single,2026-02-24 21:03:07.7820000
7212,5af3c4e197a14300017d3f49,1143.3999999985099,1143.3999999985099,1,19,left-2,left,left-dark,dark-up,greater-up,single,2026-02-24 21:03:10.4380000
7213,5af3c4e197a14300017d3f49,1856.199999999255,1856.199999999255,0,20,left-3,left,left-dark,light-up,greater-up,dual,2026-02-24 21:03:16.7190000
7214,5af3c4e197a14300017d3f49,1281.5,1281.5,1,21,right-0,right,right-dark,dark-up,greater-up,dual,2026-02-24 21:03:19.5110000
7215,5af3c4e197a14300017d3f49,1763.800000000745,1763.800000000745,1,22,right-2,right,right-dark,dark-up,greater-up,dual,2026-02-24 21:03:21.7910000
7216,5af3c4e197a14300017d3f49,2849.5,2849.5,1,23,right-0,right,right-dark,light-up,fewer-up,dual,2026-02-24 21:03:25.1590000
7217,5af3c4e197a14300017d3f49,2577.7999999970198,2577.7999999970198,1,24,right-3,left,right-dark,dark-up,fewer-up,dual,2026-02-24 21:03:28.2380000
7218,5af3c4e197a14300017d3f49,2733.800000000745,2733.800000000745,1,25,left-2,left,left-dark,light-up,fewer-up,dual,2026-02-24 21:03:31.4770000
7219,5af3c4e197a14300017d3f49,1372.6000000014901,1372.6000000014901,0,26,left-2,left,left-dark,dark-up,fewer-up,dual,2026-02-24 21:03:33.3660000
7220,5af3c4e197a14300017d3f49,936.2000000029802,936.2000000029802,1,27,right-4,right,right-dark,light-up,fewer-up,dual,2026-02-24 21:03:35.8150000
7221,5af3c4e197a14300017d3f49,785.6000000014901,785.6000000014901,0,28,right-3,right,right-dark,light-up,greater-up,dual,2026-02-24 21:03:37.1120000
7222,5af3c4e197a14300017d3f49,2443.300000000745,2443.300000000745,0,29,left-0,right,left-dark,light-up,fewer-up,dual,2026-02-24 21:03:41.0860000
7223,5af3c4e197a14300017d3f49,2417.900000002235,2417.900000002235,1,30,left-4,left,left-dark,light-up,fewer-up,dual,2026-02-24 21:03:45.0140000
7224,5af3c4e197a14300017d3f49,1359.1000000014901,1359.1000000014901,1,31,left-3,right,left-dark,dark-up,fewer-up,dual,2026-02-24 21:03:46.8860000
7225,5af3c4e197a14300017d3f49,1483.300000000745,1483.300000000745,1,32,right-3,right,right-dark,dark-up,greater-up,dual,2026-02-24 21:03:48.8770000
7226,5af3c4e197a14300017d3f49,1157.1000000014901,1157.1000000014901,1,33,right-1,right,right-dark,dark-up,greater-up,dual,2026-02-24 21:03:50.5350000
7227,5af3c4e197a14300017d3f49,1741.5,1741.5,1,34,left-4,left,left-dark,dark-up,greater-up,dual,2026-02-24 21:03:52.7820000
7228,5af3c4e197a14300017d3f49,2457.60000000149,2457.60000000149,1,35,right-3,right,right-dark,light-up,fewer-up,dual,2026-02-24 21:03:55.7510000
7229,5af3c4e197a14300017d3f49,1249.2999999970198,1249.2999999970198,0,36,left-4,left,left-dark,dark-up,fewer-up,dual,2026-02-24 21:03:57.5110000
7230,5af3c4e197a14300017d3f49,962.8000000007451,962.8000000007451,0,37,right-1,right,right-dark,dark-up,fewer-up,dual,2026-02-24 21:03:59.9920000
7231,5af3c4e197a14300017d3f49,1457.3999999985099,1457.3999999985099,1,38,left-1,right,left-dark,dark-up,fewer-up,dual,2026-02-24 21:04:02.9670000
7232,5af3c4e197a14300017d3f49,5690.400000002235,5690.400000002235,1,39,left-2,left,left-dark,dark-up,greater-up,dual,2026-02-24 21:04:09.1670000
7233,5af3c4e197a14300017d3f49,1380,1380,1,40,right-4,left,right-dark,light-up,greater-up,single,2026-02-24 21:04:17.6550000
7234,5af3c4e197a14300017d3f49,2255.900000002235,2255.900000002235,1,41,right-4,left,right-dark,dark-up,fewer-up,single,2026-02-24 21:04:20.4140000
7235,5af3c4e197a14300017d3f49,1176.2999999970198,1176.2999999970198,1,42,right-0,left,right-dark,dark-up,fewer-up,single,2026-02-24 21:04:22.1030000
7236,5af3c4e197a14300017d3f49,1220.3999999985099,1220.3999999985099,1,43,right-2,right,right-dark,light-up,fewer-up,single,2026-02-24 21:04:23.8310000
7237,5af3c4e197a14300017d3f49,2207.800000000745,2207.800000000745,1,44,right-2,left,right-dark,light-up,greater-up,single,2026-02-24 21:04:26.5510000
7238,5af3c4e197a14300017d3f49,1523.1000000014901,1523.1000000014901,1,45,right-1,right,right-dark,light-up,fewer-up,single,2026-02-24 21:04:28.5820000
7239,5af3c4e197a14300017d3f49,1537.1000000014901,1537.1000000014901,0,46,right-4,left,right-dark,dark-up,greater-up,single,2026-02-24 21:04:30.6310000
7240,5af3c4e197a14300017d3f49,1062.5,1062.5,1,47,left-3,left,left-dark,dark-up,greater-up,single,2026-02-24 21:04:33.2080000
7241,5af3c4e197a14300017d3f49,1784.300000000745,1784.300000000745,1,48,left-2,right,left-dark,light-up,greater-up,single,2026-02-24 21:04:35.4960000
7242,5af3c4e197a14300017d3f49,1588.199999999255,1588.199999999255,1,49,left-0,right,left-dark,dark-up,fewer-up,single,2026-02-24 21:04:37.5990000
7243,5af3c4e197a14300017d3f49,1143.699999999255,1143.699999999255,1,50,right-0,left,right-dark,light-up,greater-up,single,2026-02-24 21:04:39.2540000
7244,5af3c4e197a14300017d3f49,2095.300000000745,2095.300000000745,1,51,left-1,left,left-dark,dark-up,greater-up,single,2026-02-24 21:04:41.8550000
7245,5af3c4e197a14300017d3f49,1325.7999999970198,1325.7999999970198,1,52,left-0,left,left-dark,dark-up,greater-up,single,2026-02-24 21:04:43.6870000
7246,5af3c4e197a14300017d3f49,1878.199999999255,1878.199999999255,1,53,left-1,right,left-dark,light-up,greater-up,single,2026-02-24 21:04:46.0720000
7247,5af3c4e197a14300017d3f49,1184.1000000014901,1184.1000000014901,1,54,right-2,left,right-dark,dark-up,fewer-up,single,2026-02-24 21:04:47.7600000
7248,5af3c4e197a14300017d3f49,4001.89999999851,4001.89999999851,0,55,left-3,right,left-dark,light-up,fewer-up,single,2026-02-24 21:04:52.2640000
7249,5af3c4e197a14300017d3f49,1411,1411,1,56,left-0,right,left-dark,light-up,greater-up,single,2026-02-24 21:04:55.1900000
