participant_id,attention_condition,n_colormap_trials,heatmap_accuracy,mean_rt,d_prime,d_prime_ci_low,d_prime_ci_high,d_prime_ci_excludes_zero,tier1_exclude_low_phone_sdt,tier1_exclude_low_heatmap_accuracy,excluded,tier2_participant_rt_outlier,exclude_tier2,exclusion_reason
5484949efdf99b0379939cc6,dual_only,80,0.975,1321.3625,3.772898861136456,1.9925584604801134,5.553239261792799,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,included
566a19b57da035000fb39b89,dual_only,80,0.6875,2441.842499996722,3.8923034458149655,2.568032268211023,5.216574623418908,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,included
56e6a66af6ed900006a5867c,single_only,80,1,1928.8612499999697,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
574cca765e5491000f3c89e0,single_only,80,0.8625000000000002,3241.5112500006335,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
5758a78d768081000631a322,single_only,80,0.9,3171.544999977946,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
577d3361d8e8880001b31439,single_only,80,0.95,1373.697500000894,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
59347d4f53490b0001563e47,dual_only,80,0.8874999999999998,1906.136250000121,2.61648868906933,1.6587587003522064,3.5742186777864537,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,included
5977466b68264c0001c49088,dual_only,80,0.7375000000000002,2462.458749999292,1.8210702188946464,0.9270446377350318,2.715095800054261,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,included
59e7a66e62637600014a7d69,dual_only,80,0.4875,1536.3949999928475,2.4594509762295518,1.2017733969887407,3.717128555470363,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,low_heatmap_accuracy_below_49.5_of_80
5a0f46bb7542890001aa7503,single_only,80,0.9875,1338.2125,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
5a440abd1ba496000102a238,single_only,80,0.9875,2099.4887499690058,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
5a6f57166923df0001ef8d02,single_only,80,1,1445.2237500008196,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
5acc2d21436f550001003111,dual_only,80,0.9,1651.6125000000002,3.039678757902565,1.8946232527142333,4.184734263090897,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,included
5af1c4dfaec2b600010a96c9,dual_only,80,0.5625,1049.881250000035,2.633253805475262,1.527757205698522,3.7387504052520018,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,low_heatmap_accuracy_below_49.5_of_80
5afa19a4f856320001cf920f,dual_only,80,1,1582.6799999999814,3.989675453177899,2.3101803625762996,5.669170543779498,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,included
5bef41fa54277d000114d6ad,single_only,80,0.975,990.0075000000652,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
5bef64b373e44f0001092811,single_only,80,0.925,1540.0562500001863,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
5c005838232b6c0001221acf,dual_only,80,0.975,3450.442500007152,2.9096373583774224,2.040554508021051,3.7787202087337937,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,included
5c01d3c509e9c70001500b10,dual_only,80,0.9375,2015,2.9301867240639474,1.892241054319193,3.968132393808702,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,included
5c4d1a6c9ce35100019dbc88,dual_only,80,1,1332.6237499999813,2.7400003159847923,1.3733346523793433,4.106665979590241,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,included
5cb62e9293342300017a72a1,single_only,80,0.8375,2220.4012500047684,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
5ccf2abd37095c001a78cef6,single_only,80,1,1026.7812499955296,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,included
