participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
5dd877b0568ca582fb24699f,1051,0,0,right-9,left,right-dark,dark-up,greater-up,single,22:59.7
5dd877b0568ca582fb24699f,649,1,1,left-4,left,left-dark,dark-up,greater-up,single,23:01.6
5dd877b0568ca582fb24699f,498,0,2,right-4,right,right-dark,dark-up,fewer-up,single,23:03.2
5dd877b0568ca582fb24699f,459,1,3,right-8,left,right-dark,dark-up,fewer-up,single,23:04.9
5dd877b0568ca582fb24699f,1201,0,4,right-6,left,right-dark,dark-up,greater-up,single,23:07.2
5dd877b0568ca582fb24699f,909,1,5,left-2,left,left-dark,dark-up,greater-up,single,23:09.6
5dd877b0568ca582fb24699f,591,0,6,left-7,left,left-dark,light-up,greater-up,single,23:11.7
5dd877b0568ca582fb24699f,597,0,7,right-9,right,right-dark,light-up,greater-up,single,23:13.3
5dd877b0568ca582fb24699f,393,1,8,left-5,right,left-dark,dark-up,fewer-up,single,23:14.9
5dd877b0568ca582fb24699f,1010,0,9,left-5,right,left-dark,dark-up,greater-up,single,23:17.1
5dd877b0568ca582fb24699f,1472,0,10,right-5,left,right-dark,light-up,fewer-up,single,23:19.7
5dd877b0568ca582fb24699f,575,0,11,right-5,right,right-dark,dark-up,fewer-up,single,23:21.7
5dd877b0568ca582fb24699f,NULL,0,12,left-3,none,left-dark,light-up,fewer-up,single,23:24.0
5dd877b0568ca582fb24699f,790,0,13,right-4,left,right-dark,dark-up,greater-up,single,23:26.6
5dd877b0568ca582fb24699f,261,0,14,left-1,right,left-dark,light-up,fewer-up,single,23:28.1
5dd877b0568ca582fb24699f,226,0,15,left-7,right,left-dark,light-up,fewer-up,single,23:29.4
5dd877b0568ca582fb24699f,266,0,16,right-1,right,right-dark,dark-up,fewer-up,single,23:31.2
5dd877b0568ca582fb24699f,247,1,17,left-1,right,left-dark,dark-up,fewer-up,single,23:32.9
5dd877b0568ca582fb24699f,348,0,18,right-2,right,right-dark,dark-up,fewer-up,single,23:34.7
5dd877b0568ca582fb24699f,317,0,19,left-9,right,left-dark,dark-up,greater-up,single,23:36.5
5dd877b0568ca582fb24699f,679,1,20,right-6,left,right-dark,dark-up,fewer-up,single,23:43.1
672970cd30bdfdbdde8824db,870,0,0,left-6,left,left-dark,light-up,greater-up,single,23:48.2
