id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
30359,5dd877b0568ca582fb24699f,1051,0,0,right-9,left,right-dark,dark-up,greater-up,single,2026-03-14 15:22:59.7330000
30360,5dd877b0568ca582fb24699f,649,1,1,left-4,left,left-dark,dark-up,greater-up,single,2026-03-14 15:23:01.6020000
30361,5dd877b0568ca582fb24699f,498,0,2,right-4,right,right-dark,dark-up,fewer-up,single,2026-03-14 15:23:03.1920000
30362,5dd877b0568ca582fb24699f,459,1,3,right-8,left,right-dark,dark-up,fewer-up,single,2026-03-14 15:23:04.8710000
30363,5dd877b0568ca582fb24699f,1201,0,4,right-6,left,right-dark,dark-up,greater-up,single,2026-03-14 15:23:07.2100000
30364,5dd877b0568ca582fb24699f,909,1,5,left-2,left,left-dark,dark-up,greater-up,single,2026-03-14 15:23:09.6190000
30365,5dd877b0568ca582fb24699f,591,0,6,left-7,left,left-dark,light-up,greater-up,single,2026-03-14 15:23:11.6910000
30366,5dd877b0568ca582fb24699f,597,0,7,right-9,right,right-dark,light-up,greater-up,single,2026-03-14 15:23:13.3450000
30367,5dd877b0568ca582fb24699f,393,1,8,left-5,right,left-dark,dark-up,fewer-up,single,2026-03-14 15:23:14.9240000
30368,5dd877b0568ca582fb24699f,1010,0,9,left-5,right,left-dark,dark-up,greater-up,single,2026-03-14 15:23:17.1240000
30369,5dd877b0568ca582fb24699f,1472,0,10,right-5,left,right-dark,light-up,fewer-up,single,2026-03-14 15:23:19.7070000
30370,5dd877b0568ca582fb24699f,575,0,11,right-5,right,right-dark,dark-up,fewer-up,single,2026-03-14 15:23:21.6980000
30371,5dd877b0568ca582fb24699f,NULL,0,12,left-3,none,left-dark,light-up,fewer-up,single,2026-03-14 15:23:24.0480000
30372,5dd877b0568ca582fb24699f,790,0,13,right-4,left,right-dark,dark-up,greater-up,single,2026-03-14 15:23:26.5850000
