Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69b57d06f3bc8d8a4fa015d7,668c2c3b1c453af22c1e1e31,APPROVED,Not Applicable,2026-03-14T15:21:45.581000Z,2026-03-14T15:36:15.249000Z,2026-03-17T20:44:10.475000Z,2026-03-14T15:36:15.760723Z,870.0,COP6XTA3,1290,Woman (including Trans Female/Trans Woman),White,24,Female,White,United States,United States,United States,English,No,Full-Time
69b57d1ceefdaa7b3a2b2240,696a651a32c5d3c0adb0b7cc,APPROVED,Not Applicable,2026-03-14T15:22:08.367000Z,2026-03-14T15:30:36.600000Z,2026-03-17T20:44:10.767000Z,2026-03-14T15:30:36.954552Z,509.0,COP6XTA3,319,Rather not say,White,38,Female,White,United States,United States,United States,English,No,Part-Time
69b5809dc5fae5c050a264d9,66a83f244414aaec48b22552,APPROVED,Not Applicable,2026-03-14T15:37:07.241000Z,2026-03-14T15:46:29.136000Z,2026-03-17T20:44:11.033000Z,2026-03-14T15:46:29.532287Z,562.0,COP6XTA3,942,Man (including Trans Male/Trans Man),Latino/Hispanic,36,Male,White,Mexico,United States,United States,English,No,Full-Time
69b580a342b7bd40786b961e,5e6685e1ffed4c405a4db5d0,APPROVED,Not Applicable,2026-03-14T15:37:24.997000Z,2026-03-14T15:45:29.053000Z,2026-03-17T20:44:11.326000Z,2026-03-14T15:45:29.477665Z,485.0,COP6XTA3,10708,Non-binary (would like to give more detail),Latino/Hispanic,30,Male,White,United States,United States,United States,Spanish,No,Full-Time
69b580a9596f0198bdf987c1,665f81442e9eb2f969a3a4b1,APPROVED,Not Applicable,2026-03-14T15:42:01.117000Z,2026-03-14T15:48:40.698000Z,2026-03-17T20:44:11.587000Z,2026-03-14T15:48:41.039825Z,400.0,COP6XTA3,2713,Man (including Trans Male/Trans Man),South Asian,19,Male,Asian,United States,United States,United States,English,Yes,Full-Time
69b580ac911c3c811b6eb293,60fcc7651cb27f1770cc7ad2,APPROVED,Not Applicable,2026-03-14T15:37:19.717000Z,2026-03-14T15:44:20.051000Z,2026-03-17T20:44:11.827000Z,2026-03-14T15:44:21.252965Z,421.0,COP6XTA3,576,Woman (including Trans Female/Trans Woman),White,22,Female,White,United States,United States,United States,English,Yes,Part-Time
69b580ae79e9b1180ed88049,66b3e078bef7d6dd6c53e015,APPROVED,Not Applicable,2026-03-14T15:42:21.740000Z,2026-03-14T15:54:48.267000Z,2026-03-17T20:44:12.067000Z,2026-03-14T15:54:48.617625Z,747.0,COP6XTA3,4805,Woman (including Trans Female/Trans Woman),White,42,Female,White,United States,United States,United States,English,No,Part-Time
69b580df4cf096214242962c,615e420a23219efe3427a367,APPROVED,Not Applicable,2026-03-14T15:39:12.296000Z,2026-03-14T15:52:52.245000Z,2026-03-17T20:44:12.376000Z,2026-03-14T15:52:52.607873Z,820.0,COP6XTA3,9465,Woman (including Trans Female/Trans Woman),White,70,Female,White,United States,United States,United States,English,No,Full-Time
69b581134f469b97d779904d,5d537c0cecc84200153075e9,APPROVED,Not Applicable,2026-03-14T15:39:02.317000Z,2026-03-14T15:44:37.313000Z,2026-03-17T20:44:12.666000Z,2026-03-14T15:44:37.673510Z,335.0,COP6XTA3,16017,Woman (including Trans Female/Trans Woman),Latino/Hispanic,46,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69b581192299605c7cb1d434,65b549c67c7791499c09f8a2,APPROVED,Not Applicable,2026-03-14T15:39:10.341000Z,2026-03-14T15:46:47.065000Z,2026-03-17T20:44:12.916000Z,2026-03-14T15:46:47.476173Z,457.0,COP6XTA3,6494,Woman (including Trans Female/Trans Woman),White,47,Female,White,United States,United States,United States,English,No,Part-Time
69b5811a4cd338d287aaf898,6024c18b094ac71dd93f4f5a,APPROVED,Not Applicable,2026-03-14T15:39:11.906000Z,2026-03-14T15:45:55.813000Z,2026-03-17T20:44:13.195000Z,2026-03-14T15:45:56.195435Z,404.0,COP6XTA3,1342,Woman (including Trans Female/Trans Woman),Latino/Hispanic,27,Female,White,United States,United States,Spain,English,Yes,Full-Time
69b5812338c1da0b7e76aedd,5beccd423b6489000156596f,APPROVED,Not Applicable,2026-03-14T15:39:20.671000Z,2026-03-14T15:46:24.731000Z,2026-03-17T20:44:13.485000Z,2026-03-14T15:46:25.089397Z,425.0,COP6XTA3,8060,Woman (including Trans Female/Trans Woman),White,43,Female,White,United States,United States,United States,English,No,Full-Time
69b58131ae4a3f70a4ba770b,69934339b08d5f0fffb145f4,APPROVED,Not Applicable,2026-03-14T15:39:35.359000Z,2026-03-14T15:47:49.814000Z,2026-03-17T20:44:13.794000Z,2026-03-14T15:47:50.513993Z,495.0,COP6XTA3,113,Woman (including Trans Female/Trans Woman),White,37,Female,White,United States,United States,United States,English,No,Full-Time
69b5813a87f2d9754225cb01,67164d40becf6c95181afe97,APPROVED,Not Applicable,2026-03-14T15:40:33.683000Z,2026-03-14T15:57:09.458000Z,2026-03-17T20:44:14.132000Z,2026-03-14T15:57:09.839874Z,996.0,COP6XTA3,3585,Man (including Trans Male/Trans Man),Latino/Hispanic,37,Male,Other,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69b58164f5e2782c54e22c12,695bd68349914a703c6a9e80,APPROVED,Not Applicable,2026-03-14T15:42:33.494000Z,2026-03-14T15:53:46.451000Z,2026-03-17T20:44:14.440000Z,2026-03-14T15:53:46.830478Z,673.0,COP6XTA3,28,Man (including Trans Male/Trans Man),White,82,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69b581a83d764b166f577984,60bc8860d04f4ac80d319a5c,APPROVED,Not Applicable,2026-03-14T15:43:13.282000Z,2026-03-14T15:52:46.898000Z,2026-03-17T20:44:14.721000Z,2026-03-14T15:52:47.257062Z,574.0,COP6XTA3,10787,Man (including Trans Male/Trans Man),White,76,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69b581d2c05e3e068f0129f5,69925949caa087a146b8dccd,APPROVED,Not Applicable,2026-03-14T15:42:14.382000Z,2026-03-14T15:51:37.228000Z,2026-03-17T20:44:14.965000Z,2026-03-14T15:51:37.643579Z,563.0,COP6XTA3,342,Man (including Trans Male/Trans Man),White,39,Male,White,United States,United States,United States,English,No,Full-Time
69b5820d4a93a15600fe8a1d,5dcea4c3bc83380fe65dba2a,APPROVED,Not Applicable,2026-03-14T15:43:13.913000Z,2026-03-14T15:50:49.336000Z,2026-03-17T20:44:15.216000Z,2026-03-14T15:50:49.719897Z,456.0,COP6XTA3,11138,Man (including Trans Male/Trans Man),White,62,Male,White,United States,United States,United States,English,No,Full-Time
69b58215cc24540bb0591133,6991e46740117ca6ef90cd7c,APPROVED,Not Applicable,2026-03-14T15:43:27.040000Z,2026-03-14T15:57:20.062000Z,2026-03-17T20:44:15.467000Z,2026-03-14T15:57:20.409823Z,834.0,COP6XTA3,265,Woman (including Trans Female/Trans Woman),Black/African American,27,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
69b5822bb5578b4ecef1dc67,69acf86d93afc119933913e5,APPROVED,Not Applicable,2026-03-14T15:43:44.132000Z,2026-03-14T15:53:03.108000Z,2026-03-17T20:44:15.736000Z,2026-03-14T15:53:03.489822Z,559.0,COP6XTA3,28,Man (including Trans Male/Trans Man),Latino/Hispanic,21,Male,Mixed,United States,United States,United States,English,No,Full-Time
69b582307af25be398d9b689,5e9f3deb12d01a0b806e57b7,APPROVED,Not Applicable,2026-03-14T15:43:49.062000Z,2026-03-14T15:51:01.087000Z,2026-03-17T20:44:15.991000Z,2026-03-14T15:51:01.481228Z,433.0,COP6XTA3,542,Man (including Trans Male/Trans Man),White,33,Male,White,United States,United States,United States,English,No,Full-Time
69b5827aed201a06dcd406ab,69adf22dc3c63cb295877200,APPROVED,Not Applicable,2026-03-14T15:45:07.545000Z,2026-03-14T15:56:44.354000Z,2026-03-17T20:44:16.220000Z,2026-03-14T15:56:44.829465Z,697.0,COP6XTA3,34,Woman (including Trans Female/Trans Woman),Latino/Hispanic,31,Female,Mixed,Dominican Republic,United States,Dominican Republic,Spanish,No,Full-Time
69b582a6d45852c68e35b6ec,6544ff9e0fb2eaaf83e2de5c,APPROVED,Not Applicable,2026-03-14T15:45:53.435000Z,2026-03-14T15:55:23.488000Z,2026-03-17T20:44:16.558000Z,2026-03-14T15:55:23.882838Z,571.0,COP6XTA3,3070,Woman (including Trans Female/Trans Woman),White,63,Female,White,United States,United States,United States,English,No,Full-Time
69b582ab4f56d949d2827b66,5c309bb410677f0001dda0ed,APPROVED,Not Applicable,2026-03-14T15:47:21.553000Z,2026-03-14T15:56:53.469000Z,2026-03-17T20:44:17.377000Z,2026-03-14T15:56:53.936203Z,572.0,COP6XTA3,8175,Man (including Trans Male/Trans Man),White,45,Male,White,United States,United States,United States,English,No,Other
69b582ad057d308773f00785,6984a9d17c365f6f621d7fe7,APPROVED,Not Applicable,2026-03-14T15:45:52.974000Z,2026-03-14T15:53:33.052000Z,2026-03-17T20:44:17.608000Z,2026-03-14T15:53:33.460302Z,461.0,COP6XTA3,232,Woman (including Trans Female/Trans Woman),Black/African American,29,Female,Black,United States,United States,United States,English,No,Full-Time
69b582bc1c151627d424a7d2,604fe822b095421e07e3f93e,APPROVED,Not Applicable,2026-03-14T15:46:08.504000Z,2026-03-14T15:54:47.519000Z,2026-03-17T20:44:17.853000Z,2026-03-14T15:54:47.894264Z,520.0,COP6XTA3,6286,Man (including Trans Male/Trans Man),White,33,Male,White,United States,United States,United States,English,No,Full-Time
69b58307ad6185b9160801bf,65fcab5ed252c205f819b116,APPROVED,Not Applicable,2026-03-14T15:47:22.427000Z,2026-03-14T15:54:06.272000Z,2026-03-17T20:44:18.112000Z,2026-03-14T15:54:06.616726Z,404.0,COP6XTA3,1547,Man (including Trans Male/Trans Man),White,34,Male,White,United States,United States,United States,English,No,Full-Time
69b58343babeb01153d8a5d7,66d1fdd400acfdbc181f41e0,APPROVED,Not Applicable,2026-03-14T15:48:23.700000Z,2026-03-14T15:57:20.652000Z,2026-03-17T20:44:18.420000Z,2026-03-14T15:57:21.046736Z,537.0,COP6XTA3,6493,Man (including Trans Male/Trans Man),White,51,Male,White,Canada,United States,Canada,English,No,Full-Time
69b58419434f1073dc0227a8,69a5c155a852c9a8ab7762fa,APPROVED,Not Applicable,2026-03-14T15:52:03.645000Z,2026-03-14T16:02:10.171000Z,2026-03-17T20:44:18.759000Z,2026-03-14T16:02:10.568491Z,607.0,COP6XTA3,84,Woman (including Trans Female/Trans Woman),Black/African American,32,Female,Prefer not to say,United States,United States,United States,English,No,Unemployed (and job seeking)
69b58435bc241c79991aeca8,5c2d187569ceff00011417de,APPROVED,Not Applicable,2026-03-14T15:52:27.374000Z,2026-03-14T15:58:51.505000Z,2026-03-17T20:44:19.079000Z,2026-03-14T15:58:51.862213Z,385.0,COP6XTA3,8041,Woman (including Trans Female/Trans Woman),White,39,Female,White,United States,United States,United States,English,No,Full-Time
69b58437615f4333814ab4d4,663cceb7909a43d4d01e0c24,APPROVED,Not Applicable,2026-03-14T15:52:28.595000Z,2026-03-14T15:59:37.363000Z,2026-03-17T20:44:19.367000Z,2026-03-14T15:59:37.804301Z,429.0,COP6XTA3,2855,Woman (including Trans Female/Trans Woman),White,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
