id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
24906,65cb86a7e667e637599a3af3,1180,1,0,right-0,right,right-dark,light-up,fewer-up,dual,2026-03-02 21:41:23.4190000
24907,65cb86a7e667e637599a3af3,NULL,0,1,right-8,none,right-dark,light-up,fewer-up,dual,2026-03-02 21:41:25.8170000
24908,65cb86a7e667e637599a3af3,710,1,2,right-4,right,right-dark,dark-up,greater-up,dual,2026-03-02 21:41:29.2460000
24909,65cb86a7e667e637599a3af3,1199,0,3,right-3,right,right-dark,dark-up,fewer-up,dual,2026-03-02 21:41:32.0150000
24910,65cb86a7e667e637599a3af3,1482,1,4,left-3,left,left-dark,dark-up,greater-up,dual,2026-03-02 21:41:34.5920000
24911,65cb86a7e667e637599a3af3,1222,0,5,left-0,left,left-dark,dark-up,fewer-up,dual,2026-03-02 21:41:37.8690000
24912,65cb86a7e667e637599a3af3,1404,1,6,right-9,left,right-dark,light-up,greater-up,dual,2026-03-02 21:41:41.3340000
24913,65cb86a7e667e637599a3af3,NULL,0,7,right-4,none,right-dark,light-up,greater-up,dual,2026-03-02 21:41:44.0700000
24914,65cb86a7e667e637599a3af3,1177,0,8,right-2,left,right-dark,light-up,fewer-up,dual,2026-03-02 21:41:47.7000000
24915,65cb86a7e667e637599a3af3,1416,0,9,right-6,left,right-dark,light-up,fewer-up,dual,2026-03-02 21:41:51.3940000
24916,65cb86a7e667e637599a3af3,1430,0,10,right-1,left,right-dark,dark-up,greater-up,dual,2026-03-02 21:41:54.5520000
24917,65cb86a7e667e637599a3af3,1314,1,11,right-0,left,right-dark,light-up,greater-up,dual,2026-03-02 21:41:57.1190000
24918,65cb86a7e667e637599a3af3,1370,1,12,right-6,right,right-dark,dark-up,greater-up,dual,2026-03-02 21:42:00.0240000
24919,65cb86a7e667e637599a3af3,1641,0,13,left-8,left,left-dark,light-up,greater-up,dual,2026-03-02 21:42:03.0720000
24920,65cb86a7e667e637599a3af3,NULL,0,14,right-7,none,right-dark,dark-up,fewer-up,dual,2026-03-02 21:42:06.7460000
24921,65cb86a7e667e637599a3af3,989,1,15,right-5,left,right-dark,dark-up,fewer-up,dual,2026-03-02 21:42:10.5560000
24922,65cb86a7e667e637599a3af3,1734,1,16,left-7,right,left-dark,light-up,greater-up,dual,2026-03-02 21:42:13.8180000
24923,65cb86a7e667e637599a3af3,1513,1,17,left-2,left,left-dark,light-up,fewer-up,dual,2026-03-02 21:42:17.2820000
24924,65cb86a7e667e637599a3af3,NULL,0,18,left-5,none,left-dark,light-up,fewer-up,dual,2026-03-02 21:42:19.8600000
24925,65cb86a7e667e637599a3af3,943,1,19,right-1,left,right-dark,dark-up,fewer-up,dual,2026-03-02 21:42:23.0620000
24926,65cb86a7e667e637599a3af3,1163,0,20,left-1,right,left-dark,light-up,fewer-up,dual,2026-03-02 21:42:34.4160000
24927,65cb86a7e667e637599a3af3,1051,1,21,left-8,left,left-dark,dark-up,greater-up,dual,2026-03-02 21:42:37.4940000
24928,65cb86a7e667e637599a3af3,1110,0,22,left-9,right,left-dark,light-up,fewer-up,dual,2026-03-02 21:42:40.8850000
24929,65cb86a7e667e637599a3af3,1155,1,23,left-5,left,left-dark,dark-up,greater-up,dual,2026-03-02 21:42:44.3350000
24930,65cb86a7e667e637599a3af3,1307,1,24,right-8,left,right-dark,dark-up,fewer-up,dual,2026-03-02 21:42:47.6780000
