id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
24319,test,1314,1,0,left-1,left,left-dark,dark-up,greater-up,dual,11:38:32_PM
24320,test,1151,1,1,left-2,right,left-dark,light-up,greater-up,dual,11:38:34_PM
24321,test,NULL,0,2,right-5,none,right-dark,light-up,greater-up,dual,11:38:38_PM
24322,test,NULL,0,3,left-0,none,left-dark,dark-up,greater-up,dual,11:38:40_PM
24323,test,1596,0,4,right-4,left,right-dark,light-up,fewer-up,dual,11:38:43_PM
24324,test,NULL,0,5,left-8,none,left-dark,light-up,greater-up,dual,11:38:47_PM
24325,test,1450,1,6,right-7,left,right-dark,light-up,greater-up,dual,11:38:50_PM
24326,test,748,1,7,right-5,right,right-dark,dark-up,greater-up,dual,11:38:52_PM
24327,test,1084,0,8,left-1,right,left-dark,light-up,fewer-up,dual,11:38:55_PM
24328,test,1696,1,9,left-9,left,left-dark,light-up,fewer-up,dual,11:38:59_PM
24329,test,NULL,0,10,right-6,none,right-dark,dark-up,fewer-up,dual,11:39:02_PM
24330,test,1528,1,11,left-7,left,left-dark,light-up,fewer-up,dual,11:39:06_PM
24331,test,1651,1,12,left-3,right,left-dark,dark-up,fewer-up,dual,11:39:09_PM
24332,test,1263,1,13,right-0,left,right-dark,light-up,greater-up,dual,11:39:12_PM
24333,test,NULL,0,14,left-6,none,left-dark,light-up,fewer-up,dual,11:39:15_PM
24334,test,1333,1,15,right-1,right,right-dark,light-up,fewer-up,dual,11:39:19_PM
24335,test,1307,1,16,right-1,left,right-dark,light-up,greater-up,dual,11:39:21_PM
24336,test,1211,1,17,left-0,right,left-dark,dark-up,fewer-up,dual,11:39:25_PM
24337,test,1050,1,18,right-2,right,right-dark,dark-up,greater-up,dual,11:39:28_PM
24338,test,1162,1,19,left-5,right,left-dark,light-up,greater-up,dual,11:39:30_PM
24339,test,NULL,0,20,left-7,none,left-dark,light-up,greater-up,dual,11:39:38_PM
24340,test,1077,1,21,left-3,left,left-dark,dark-up,greater-up,dual,11:39:40_PM
24341,test,1090,1,22,left-9,right,left-dark,dark-up,fewer-up,dual,11:39:42_PM
24342,test,NULL,0,23,left-5,none,left-dark,light-up,fewer-up,dual,11:39:45_PM
24343,test,1650,1,24,left-6,right,left-dark,dark-up,fewer-up,dual,11:39:49_PM
24344,test,819,1,25,right-8,right,right-dark,dark-up,greater-up,dual,11:39:52_PM
24345,test,1198,1,26,right-3,right,right-dark,light-up,fewer-up,dual,11:39:56_PM
24346,test,935,1,27,right-3,left,right-dark,light-up,greater-up,dual,11:39:58_PM
24347,test,727,1,28,right-4,right,right-dark,dark-up,greater-up,dual,11:40:02_PM
24348,test,1190,1,29,right-1,left,right-dark,dark-up,fewer-up,dual,11:40:05_PM
24349,test,1647,1,30,right-6,right,right-dark,light-up,fewer-up,dual,11:40:08_PM
