id,participant_id,response_time,correct,trial_number,stimuli_number,response,slope,legend,statement_type,statement_truth,attention,time_when,comparison_frame,valid_response_time,valid_correct,is_answered,participant_type,is_complete,mean_rt_ms,participant_rt_sd_ms,exclude_low_task_accuracy,exclude_low_phone_dprime,exclude_mean_rt_outlier,exclude_within_participant_rt_outlier
1865,5ad7e2dc74a9220001ba091a,15329,1,0,linechart-real-22-shuffled-interaction-1-5,right,increasing,shuffled,interaction,true,single,2026-03-19T15:23:49Z,less,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,TRUE
1868,5ad7e2dc74a9220001ba091a,13663,1,1,linechart-real-19-ordered-main_effect-0-24,left,increasing,ordered,main_effect,false,single,2026-03-19T15:24:03Z,more,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,TRUE
1870,5ad7e2dc74a9220001ba091a,5619,1,2,linechart-real-6-ordered-main_effect-0-18,left,increasing,ordered,main_effect,false,single,2026-03-19T15:24:09Z,less,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,FALSE
1872,5ad7e2dc74a9220001ba091a,7150,0,3,linechart-real-11-ordered-interaction-1-10,left,increasing,ordered,interaction,true,single,2026-03-19T15:24:17Z,less,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,FALSE
1874,5ad7e2dc74a9220001ba091a,14283,1,4,linechart-real-27-ordered-main_effect-0-6,left,increasing,ordered,main_effect,false,single,2026-03-19T15:24:33Z,less,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,TRUE
1876,5ad7e2dc74a9220001ba091a,11428,1,5,linechart-real-30-shuffled-interaction-0-30,left,increasing,shuffled,interaction,false,single,2026-03-19T15:24:45Z,less,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,FALSE
1877,5ad7e2dc74a9220001ba091a,3786,1,6,linechart-real-8-ordered-interaction-1-26,right,increasing,ordered,interaction,true,single,2026-03-19T15:24:50Z,more,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,FALSE
1878,5ad7e2dc74a9220001ba091a,6182,0,7,linechart-real-28-shuffled-interaction-1-7,left,increasing,shuffled,interaction,true,single,2026-03-19T15:24:56Z,less,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,FALSE
1880,5ad7e2dc74a9220001ba091a,6699,1,8,linechart-real-25-shuffled-interaction-1-1,right,increasing,shuffled,interaction,true,single,2026-03-19T15:25:07Z,more,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,FALSE
1881,5ad7e2dc74a9220001ba091a,6353,0,9,linechart-real-7-shuffled-main_effect-0-31,right,increasing,shuffled,main_effect,false,single,2026-03-19T15:25:14Z,more,TRUE,TRUE,TRUE,study,TRUE,6115.25,3286.6560808135046,FALSE,FALSE,FALSE,FALSE
