id,participant_id,response_time,correct,trial_number,stimuli_number,response,slope,legend,statement_type,statement_truth,attention,time_when,comparison_frame
1637,67204af156acf704058c6e66,5802,1,0,linechart-real-3-ordered-main_effect-0-19,left,increasing,ordered,main_effect,0,dual,2026-03-19 15:04:36.297,less
1638,67204af156acf704058c6e66,3827,1,1,linechart-real-25-ordered-interaction-1-0,right,increasing,ordered,interaction,1,dual,2026-03-19 15:04:40.746,more
1639,67204af156acf704058c6e66,7762,1,2,linechart-real-7-ordered-main_effect-1-5,right,increasing,ordered,main_effect,1,dual,2026-03-19 15:04:49.184,less
1640,67204af156acf704058c6e66,13398,1,3,linechart-real-27-shuffled-main_effect-1-10,right,increasing,shuffled,main_effect,1,dual,2026-03-19 15:05:03.283,less
1641,67204af156acf704058c6e66,5272,1,4,linechart-real-11-ordered-interaction-1-9,right,increasing,ordered,interaction,1,dual,2026-03-19 15:05:09.227,less
1642,67204af156acf704058c6e66,6269,1,5,linechart-real-30-ordered-interaction-1-7,right,increasing,ordered,interaction,1,dual,2026-03-19 15:05:16.167,less
1643,67204af156acf704058c6e66,4901,0,6,linechart-real-6-shuffled-interaction-0-14,right,increasing,shuffled,interaction,0,dual,2026-03-19 15:05:21.734,more
1644,67204af156acf704058c6e66,4731,1,7,linechart-real-1-shuffled-interaction-1-8,right,increasing,shuffled,interaction,1,dual,2026-03-19 15:05:28.180,more
1645,67204af156acf704058c6e66,5899,1,8,linechart-real-18-ordered-main_effect-1-21,right,increasing,ordered,main_effect,1,dual,2026-03-19 15:05:46.586,less
1646,67204af156acf704058c6e66,10304,1,9,linechart-real-12-shuffled-main_effect-0-31,left,increasing,shuffled,main_effect,0,dual,2026-03-19 15:05:57.651,more
1647,67204af156acf704058c6e66,3890,1,10,linechart-real-16-shuffled-interaction-1-20,right,increasing,shuffled,interaction,1,dual,2026-03-19 15:06:02.222,more
1648,67204af156acf704058c6e66,4650,0,11,linechart-real-28-shuffled-interaction-0-18,right,increasing,shuffled,interaction,0,dual,2026-03-19 15:06:07.582,more
1649,67204af156acf704058c6e66,3644,1,12,linechart-real-14-shuffled-interaction-0-24,left,increasing,shuffled,interaction,0,dual,2026-03-19 15:06:12.955,less
1650,67204af156acf704058c6e66,14904,0,13,linechart-real-24-shuffled-interaction-0-27,right,increasing,shuffled,interaction,0,dual,2026-03-19 15:06:28.546,less
1651,67204af156acf704058c6e66,6362,1,14,linechart-real-17-ordered-main_effect-0-26,left,increasing,ordered,main_effect,0,dual,2026-03-19 15:06:36.734,less
1652,67204af156acf704058c6e66,8317,1,15,linechart-real-5-shuffled-main_effect-1-12,right,increasing,shuffled,main_effect,1,dual,2026-03-19 15:06:45.682,less
1653,67204af156acf704058c6e66,4417,1,16,linechart-real-8-ordered-main_effect-1-30,right,increasing,ordered,main_effect,1,dual,2026-03-19 15:06:58.966,more
1654,60fef46ad3fef7593e28ead4,12308,1,0,linechart-real-21-ordered-main_effect-0-16,left,increasing,ordered,main_effect,0,dual,2026-03-19 15:06:58.840,more
1655,67204af156acf704058c6e66,4040,0,17,linechart-real-29-shuffled-interaction-0-4,right,increasing,shuffled,interaction,0,dual,2026-03-19 15:07:03.589,less
1656,67204af156acf704058c6e66,6134,1,18,linechart-real-20-shuffled-main_effect-0-13,left,increasing,shuffled,main_effect,0,dual,2026-03-19 15:07:11.538,less
1657,67204af156acf704058c6e66,2156,1,19,linechart-real-21-ordered-interaction-1-2,right,increasing,ordered,interaction,1,dual,2026-03-19 15:07:14.337,more
1658,60fef46ad3fef7593e28ead4,17395,0,1,linechart-real-18-shuffled-main_effect-0-21,right,increasing,shuffled,main_effect,0,dual,2026-03-19 15:07:17.035,less
1659,67204af156acf704058c6e66,4067,1,20,linechart-real-31-ordered-interaction-0-15,left,increasing,ordered,interaction,0,dual,2026-03-19 15:07:19.091,more
1660,67204af156acf704058c6e66,6760,1,21,linechart-real-10-shuffled-main_effect-0-3,left,increasing,shuffled,main_effect,0,dual,2026-03-19 15:07:26.530,less
1661,60fef46ad3fef7593e28ead4,7076,1,2,linechart-real-23-shuffled-interaction-1-30,right,increasing,shuffled,interaction,1,dual,2026-03-19 15:07:25.968,more
1662,67204af156acf704058c6e66,6549,1,22,linechart-real-13-ordered-main_effect-0-28,left,increasing,ordered,main_effect,0,dual,2026-03-19 15:07:33.723,more
1663,60fef46ad3fef7593e28ead4,8322,1,3,linechart-real-15-shuffled-interaction-0-29,left,increasing,shuffled,interaction,0,dual,2026-03-19 15:07:35.100,less
1664,67204af156acf704058c6e66,6429,1,23,linechart-real-26-shuffled-main_effect-0-6,left,increasing,shuffled,main_effect,0,dual,2026-03-19 15:07:40.919,more
1665,60fef46ad3fef7593e28ead4,11534,1,4,linechart-real-30-ordered-interaction-1-31,right,increasing,ordered,interaction,1,dual,2026-03-19 15:07:47.426,less
1666,60fef46ad3fef7593e28ead4,6133,1,5,linechart-real-7-shuffled-interaction-0-18,left,increasing,shuffled,interaction,0,dual,2026-03-19 15:07:54.567,less
1667,67204af156acf704058c6e66,5298,1,24,linechart-real-15-shuffled-main_effect-1-17,right,increasing,shuffled,main_effect,1,dual,2026-03-19 15:08:01.479,more
1668,67204af156acf704058c6e66,3714,1,25,linechart-real-19-ordered-interaction-1-22,right,increasing,ordered,interaction,1,dual,2026-03-19 15:08:05.872,less
1669,60fef46ad3fef7593e28ead4,10845,0,6,linechart-real-4-shuffled-interaction-1-6,left,increasing,shuffled,interaction,1,dual,2026-03-19 15:08:06.296,less
1670,67204af156acf704058c6e66,6456,1,26,linechart-real-22-shuffled-main_effect-1-11,right,increasing,shuffled,main_effect,1,dual,2026-03-19 15:08:13.015,more
