id,participant_id,hit,miss,false_alarm,correct_rejection,created_at
279,67aa52dcb66d138fca70a211,16,0,1,30,2026-03-18 14:58:16.6186863
280,63767a851344bd887e00249e,39,2,6,62,2026-03-18 15:12:18.4676190
281,5b5a822e1ad8270001c4f28d,26,10,1,71,2026-03-18 15:24:01.4946645
282,63dac3039dddeaa909a790fb,31,0,0,44,2026-03-18 15:29:11.5798281
283,6980e01bd642d128e0f16421,25,0,1,34,2026-03-18 15:39:56.9691285
284,663042c090c098dc6d09dbb6,83,1,2,118,2026-03-18 15:41:34.7839194
285,6995e36c4e1c1e43e0429cdd,17,4,1,35,2026-03-18 16:03:32.3344276
286,6405feae7d6321bfaaf793e8,18,0,0,46,2026-03-18 16:11:50.7203684
287,695fb0485e22f6e6da1dfe02,36,0,2,53,2026-03-18 16:12:55.6323841
288,5e1882adfd7db4158998b5f0,16,0,0,34,2026-03-18 16:26:06.2273446
289,5f4ee7ff2c5da213f015a27e,23,0,0,36,2026-03-18 16:27:16.1191980
290,67abd0ef6cf17e10092d518b,11,6,1,37,2026-03-18 16:39:43.7837868
291,60c770aa2d2928bfda4c7cd4,0,1,0,8,2026-03-18 16:46:17.7922569
292,5dec8925be656d35d4005320,23,0,0,31,2026-03-18 16:54:29.9602183
293,6942bb8aaecada175ecc2e2b,38,3,2,68,2026-03-18 17:08:04.8779425
294,5ce9bfc4d439ae00015968dd,44,4,4,47,2026-03-18 17:36:42.8922862
295,695ba43728aa6b767210fff6,34,4,1,49,2026-03-18 17:38:07.0411527
296,69810122d82c67a45b417ac6,32,1,2,30,2026-03-18 17:45:52.0873399
297,5dd31871c5faa232d3c20365,43,10,0,85,2026-03-18 18:06:30.8206064
298,60e00468ba249d2d30b2d7b2,0,19,0,35,2026-03-18 19:13:23.2166984
299,65cb86a7e667e637599a3af3,14,3,3,20,2026-03-18 21:24:54.2276395
300,5ec17a2e02be030625eaff6e,31,1,1,41,2026-03-18 21:26:18.5574685
301,69b19be44bc129f85f90f89d,35,10,2,61,2026-03-18 21:35:57.6917652
302,66e62716a40afa9a9b4d23c6,11,27,0,56,2026-03-18 21:36:35.3494883
303,69b0666b647ba8daed82d623,14,47,0,88,2026-03-18 21:39:54.2396876
304,6943a4da7dee8750219a1aaf,78,0,0,99,2026-03-18 21:42:50.9627040
305,69b0d77ac396f921bd860bba,24,1,0,26,2026-03-18 21:48:18.8583853
306,667871d17d7fdf0358f82a28,9,0,3,8,2026-03-18 21:48:41.2634636
307,5ee00b8630f30b34f2a5dc1c,32,0,2,37,2026-03-18 21:53:14.8639490
308,6287a504c4cb277cf781b6bb,37,1,0,58,2026-03-18 22:17:01.0837161
309,697c9f1edb33c56303f887a2,25,6,0,54,2026-03-18 23:56:17.5581660
310,614ff24d1d1982c8442aad56,38,5,3,73,2026-03-18 23:59:37.0417116
311,699f844c598e6df7ac4822c3,65,4,1,100,2026-03-19 00:10:39.5185144
312,66404f7c39df6ec6f06106e4,8,1,3,9,2026-03-19 00:21:09.7237113
313,5a4ff86beedc32000141f232,48,26,7,112,2026-03-19 00:27:29.9369071
314,5dc916d584b21f64f98d61dd,41,4,3,78,2026-03-19 00:32:06.4615764
