id,participant_id,response_time,correct,trial_number,stimuli_number,response,slope,legend,statement_type,statement_truth,attention,time_when
81,63d6873b65a6170d64a652f6,7816,0,0,linechart-real-13-ordered-main_effect-0-8,right,increasing,ordered,main_effect,0,single,2026-03-18 15:03:30.739
82,63d6873b65a6170d64a652f6,14856,1,1,linechart-real-11-shuffled-main_effect-0-12,left,increasing,shuffled,main_effect,0,single,2026-03-18 15:03:47.414
83,63d6873b65a6170d64a652f6,8230,1,2,linechart-real-8-shuffled-main_effect-1-15,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:03:56.401
84,63d6873b65a6170d64a652f6,5562,1,3,linechart-real-12-ordered-interaction-1-2,right,increasing,ordered,interaction,1,single,2026-03-18 15:04:02.799
85,63d6873b65a6170d64a652f6,7060,1,4,linechart-real-5-shuffled-interaction-1-17,right,increasing,shuffled,interaction,1,single,2026-03-18 15:04:10.645
86,63d6873b65a6170d64a652f6,6667,1,5,linechart-real-30-shuffled-main_effect-1-13,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:04:18.141
87,63d6873b65a6170d64a652f6,47365,1,6,linechart-real-3-shuffled-interaction-1-31,right,increasing,shuffled,interaction,1,single,2026-03-18 15:05:06.317
88,63d6873b65a6170d64a652f6,7073,1,7,linechart-real-2-shuffled-main_effect-1-14,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:05:14.250
89,5aa485b11eda41000136c94b,8912,1,0,linechart-real-25-shuffled-main_effect-1-30,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:05:33.907
90,5aa485b11eda41000136c94b,9412,1,1,linechart-real-27-ordered-interaction-0-4,left,increasing,ordered,interaction,0,single,2026-03-18 15:05:43.977
91,5aa485b11eda41000136c94b,7340,1,2,linechart-real-0-ordered-main_effect-1-11,right,increasing,ordered,main_effect,1,single,2026-03-18 15:05:51.955
92,5aa485b11eda41000136c94b,12204,1,3,linechart-real-13-shuffled-interaction-1-14,right,increasing,shuffled,interaction,1,single,2026-03-18 15:06:04.762
93,5aa485b11eda41000136c94b,6233,1,4,linechart-real-4-ordered-main_effect-1-8,right,increasing,ordered,main_effect,1,single,2026-03-18 15:06:11.663
94,5aa485b11eda41000136c94b,6458,1,5,linechart-real-24-shuffled-interaction-1-23,right,increasing,shuffled,interaction,1,single,2026-03-18 15:06:18.776
95,5aa485b11eda41000136c94b,6877,1,6,linechart-real-5-ordered-main_effect-0-12,left,increasing,ordered,main_effect,0,single,2026-03-18 15:06:26.301
96,5aa485b11eda41000136c94b,6371,1,7,linechart-real-30-ordered-main_effect-0-28,left,increasing,ordered,main_effect,0,single,2026-03-18 15:06:33.412
97,5aa485b11eda41000136c94b,8472,1,8,linechart-real-12-shuffled-main_effect-0-3,left,increasing,shuffled,main_effect,0,single,2026-03-18 15:06:46.913
98,5aa485b11eda41000136c94b,11621,1,9,linechart-real-11-shuffled-main_effect-1-16,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:06:59.179
99,5aa485b11eda41000136c94b,10054,1,10,linechart-real-7-shuffled-interaction-1-22,right,increasing,shuffled,interaction,1,single,2026-03-18 15:07:09.908
100,5aa485b11eda41000136c94b,10169,1,11,linechart-real-28-shuffled-interaction-1-26,right,increasing,shuffled,interaction,1,single,2026-03-18 15:07:20.685
101,5aa485b11eda41000136c94b,6337,1,12,linechart-real-22-shuffled-interaction-0-10,left,increasing,shuffled,interaction,0,single,2026-03-18 15:07:27.662
102,5aa485b11eda41000136c94b,7079,1,13,linechart-real-31-ordered-interaction-0-18,left,increasing,ordered,interaction,0,single,2026-03-18 15:07:35.381
103,5aa485b11eda41000136c94b,11679,1,14,linechart-real-17-shuffled-main_effect-1-2,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:07:47.668
104,5aa485b11eda41000136c94b,6047,1,15,linechart-real-21-ordered-main_effect-0-1,left,increasing,ordered,main_effect,0,single,2026-03-18 15:07:54.374
105,67639cb846231603c8e979cd,5358,1,0,linechart-real-12-ordered-main_effect-0-8,left,increasing,ordered,main_effect,0,single,2026-03-18 15:08:03.291
106,5aa485b11eda41000136c94b,6769,1,16,linechart-real-1-ordered-interaction-1-0,right,increasing,ordered,interaction,1,single,2026-03-18 15:08:06.601
107,67639cb846231603c8e979cd,5875,1,1,linechart-real-24-ordered-interaction-0-11,left,increasing,ordered,interaction,0,single,2026-03-18 15:08:09.840
108,5aa485b11eda41000136c94b,6786,1,17,linechart-real-2-shuffled-interaction-0-6,left,increasing,shuffled,interaction,0,single,2026-03-18 15:08:14.036
109,67639cb846231603c8e979cd,5966,1,2,linechart-real-2-shuffled-interaction-1-20,right,increasing,shuffled,interaction,1,single,2026-03-18 15:08:16.479
110,63d6873b65a6170d64a652f6,8237,1,8,linechart-real-14-shuffled-main_effect-0-28,left,increasing,shuffled,main_effect,0,single,2026-03-18 15:08:19.474
111,5aa485b11eda41000136c94b,6142,1,18,linechart-real-14-shuffled-main_effect-0-17,left,increasing,shuffled,main_effect,0,single,2026-03-18 15:08:20.832
112,67639cb846231603c8e979cd,5566,1,3,linechart-real-16-ordered-interaction-0-4,left,increasing,ordered,interaction,0,single,2026-03-18 15:08:22.728
113,63d6873b65a6170d64a652f6,7375,1,9,linechart-real-24-shuffled-interaction-1-10,right,increasing,shuffled,interaction,1,single,2026-03-18 15:08:27.462
114,67639cb846231603c8e979cd,4554,1,4,linechart-real-20-shuffled-interaction-1-13,right,increasing,shuffled,interaction,1,single,2026-03-18 15:08:27.909
115,5aa485b11eda41000136c94b,9708,1,19,linechart-real-9-shuffled-interaction-0-25,left,increasing,shuffled,interaction,0,single,2026-03-18 15:08:31.154
116,67639cb846231603c8e979cd,4147,1,5,linechart-real-6-ordered-main_effect-0-17,left,increasing,ordered,main_effect,0,single,2026-03-18 15:08:33.101
117,63d6873b65a6170d64a652f6,6524,1,10,linechart-real-20-ordered-interaction-1-26,right,increasing,ordered,interaction,1,single,2026-03-18 15:08:34.573
118,67639cb846231603c8e979cd,6800,1,6,linechart-real-25-shuffled-interaction-1-7,right,increasing,shuffled,interaction,1,single,2026-03-18 15:08:40.572
119,63d6873b65a6170d64a652f6,6547,1,11,linechart-real-0-shuffled-interaction-0-5,left,increasing,shuffled,interaction,0,single,2026-03-18 15:08:41.742
120,5aa485b11eda41000136c94b,11977,1,20,linechart-real-18-ordered-main_effect-1-13,right,increasing,ordered,main_effect,1,single,2026-03-18 15:08:43.772
121,67639cb846231603c8e979cd,4517,1,7,linechart-real-26-shuffled-main_effect-1-22,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:08:45.772
122,63d6873b65a6170d64a652f6,6701,1,12,linechart-real-9-ordered-main_effect-1-18,right,increasing,ordered,main_effect,1,single,2026-03-18 15:08:49.024
123,67639cb846231603c8e979cd,4318,0,8,linechart-real-11-ordered-interaction-1-27,left,increasing,ordered,interaction,1,single,2026-03-18 15:08:54.360
124,63d6873b65a6170d64a652f6,4703,1,13,linechart-real-1-ordered-interaction-0-20,left,increasing,ordered,interaction,0,single,2026-03-18 15:08:54.307
125,5aa485b11eda41000136c94b,13482,1,21,linechart-real-19-ordered-main_effect-0-15,left,increasing,ordered,main_effect,0,single,2026-03-18 15:08:57.917
126,67639cb846231603c8e979cd,8050,1,9,linechart-real-15-shuffled-main_effect-0-3,left,increasing,shuffled,main_effect,0,single,2026-03-18 15:09:04.084
127,67639cb846231603c8e979cd,4002,1,10,linechart-real-18-shuffled-main_effect-1-9,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:09:08.772
128,63d6873b65a6170d64a652f6,15562,1,14,linechart-real-25-ordered-main_effect-0-11,left,increasing,ordered,main_effect,0,single,2026-03-18 15:09:10.467
129,5aa485b11eda41000136c94b,17099,1,22,linechart-real-8-shuffled-main_effect-1-27,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:09:15.658
130,67639cb846231603c8e979cd,6248,1,11,linechart-real-8-shuffled-interaction-0-28,left,increasing,shuffled,interaction,0,single,2026-03-18 15:09:15.686
131,67639cb846231603c8e979cd,4131,1,12,linechart-real-3-shuffled-main_effect-1-19,right,increasing,shuffled,main_effect,1,single,2026-03-18 15:09:20.512
132,5aa485b11eda41000136c94b,7467,1,23,linechart-real-20-ordered-main_effect-1-5,right,increasing,ordered,main_effect,1,single,2026-03-18 15:09:23.720
133,67639cb846231603c8e979cd,5007,1,13,linechart-real-19-ordered-main_effect-0-31,left,increasing,ordered,main_effect,0,single,2026-03-18 15:09:26.201
134,67639cb846231603c8e979cd,4272,1,14,linechart-real-14-ordered-main_effect-1-26,right,increasing,ordered,main_effect,1,single,2026-03-18 15:09:31.152
135,63d6873b65a6170d64a652f6,21290,1,15,linechart-real-23-ordered-main_effect-0-30,left,increasing,ordered,main_effect,0,single,2026-03-18 15:09:32.376
136,67639cb846231603c8e979cd,3633,1,15,linechart-real-30-ordered-interaction-0-1,left,increasing,ordered,interaction,0,single,2026-03-18 15:09:35.458
