attention,legend,statement_type,statement_truth,n_trials,n_participants,accuracy,accuracy_se,mean_rt_ms,rt_se_ms
single,ordered,main_effect,false,106,26,0.9716981132075472,0.016183733749086857,9341.773584905659,366.736158231447
single,ordered,main_effect,true,98,26,0.9489795918367347,0.022341613457808628,9196.479591836736,291.499990970618
single,ordered,interaction,false,98,26,0.9183673469387755,0.027800608725704085,10915.15306122449,425.965613941896
single,ordered,interaction,true,104,26,0.9230769230769229,0.02625600572254962,10005.605769230771,334.5116304176368
single,shuffled,main_effect,false,102,26,0.9411764705882353,0.023412639769646776,10732.93137254902,393.41614815604186
single,shuffled,main_effect,true,99,26,0.8787878787878788,0.03296871474399961,9866.565656565659,428.5743612601959
single,shuffled,interaction,false,87,25,0.896551724137931,0.032839767809852864,10706.83908045977,409.5031210720532
single,shuffled,interaction,true,99,26,0.9292929292929293,0.025893735129763847,10293.787878787878,314.34964234805005
dual,ordered,main_effect,false,71,18,0.9295774647887324,0.030580853427707572,10877.098591549297,534.5892419490103
dual,ordered,main_effect,true,68,18,0.8970588235294118,0.03712509925760679,11488.823529411766,520.6738175612023
dual,ordered,interaction,false,68,18,0.8235294117647061,0.046573440596575366,12794.985294117647,617.44322978498
dual,ordered,interaction,true,74,18,0.8783783783783783,0.038254698480476516,11991.594594594595,566.1642360778314
dual,shuffled,main_effect,false,67,18,0.8955223880597015,0.03765111784399349,11918.089552238807,620.649263469913
dual,shuffled,main_effect,true,69,18,0.8260869565217391,0.04596470781486301,12014.333333333334,617.2628345638411
dual,shuffled,interaction,false,67,18,0.791044776119403,0.050044364907490195,13422.343283582091,721.5059404120378
dual,shuffled,interaction,true,65,18,0.9230769230769231,0.033308669376324575,13358.076923076924,661.7007654767708
