participant_id,attention,legend,statement_type,statement_truth,accuracy,mean_rt_ms
5ad7e2dc74a9220001ba091a,single,ordered,main_effect,false,0.6666666666666666,6235
5ad7e2dc74a9220001ba091a,single,ordered,main_effect,true,0.33333333333333337,5007.333333333333
5ad7e2dc74a9220001ba091a,single,ordered,interaction,false,0.75,4087.5
5ad7e2dc74a9220001ba091a,single,ordered,interaction,true,0.5,5702.5
5ad7e2dc74a9220001ba091a,single,shuffled,main_effect,false,0.6666666666666666,4862.666666666667
5ad7e2dc74a9220001ba091a,single,shuffled,main_effect,true,0.8,4151.6
5ad7e2dc74a9220001ba091a,single,shuffled,interaction,false,1,6960.5
5ad7e2dc74a9220001ba091a,single,shuffled,interaction,true,0.6666666666666666,5446
5c4684826a7dbc00017c0a87,single,ordered,main_effect,false,1,5941.6
5c4684826a7dbc00017c0a87,single,ordered,main_effect,true,1,8925.5
5c4684826a7dbc00017c0a87,single,ordered,interaction,false,1,10780.5
5c4684826a7dbc00017c0a87,single,ordered,interaction,true,0.33333333333333337,7808.166666666667
5c4684826a7dbc00017c0a87,single,shuffled,main_effect,false,1,8116
5c4684826a7dbc00017c0a87,single,shuffled,main_effect,true,0.6,6324.8
5c4684826a7dbc00017c0a87,single,shuffled,interaction,false,0.6,9870.2
5c4684826a7dbc00017c0a87,single,shuffled,interaction,true,1,8322.666666666666
5c715022b2da8a0001ee0a84,single,ordered,main_effect,false,0.8,9621.2
5c715022b2da8a0001ee0a84,single,ordered,main_effect,true,0.6666666666666666,11658.333333333334
5c715022b2da8a0001ee0a84,single,ordered,interaction,false,0.5,13075.25
5c715022b2da8a0001ee0a84,single,ordered,interaction,true,1,7965.25
5c715022b2da8a0001ee0a84,single,shuffled,main_effect,false,0.6,10392.8
5c715022b2da8a0001ee0a84,single,shuffled,main_effect,true,0.6666666666666666,9265.666666666666
5c715022b2da8a0001ee0a84,single,shuffled,interaction,false,0,10786
5c715022b2da8a0001ee0a84,single,shuffled,interaction,true,1,10301
5ccb779b2c4e1f00159333ea,single,ordered,main_effect,false,1,8472.333333333334
5ccb779b2c4e1f00159333ea,single,ordered,main_effect,true,1,8292.4
5ccb779b2c4e1f00159333ea,single,ordered,interaction,false,1,15746.75
5ccb779b2c4e1f00159333ea,single,ordered,interaction,true,1,11038.75
5ccb779b2c4e1f00159333ea,single,shuffled,main_effect,false,1,10571.8
5ccb779b2c4e1f00159333ea,single,shuffled,main_effect,true,1,5703.5
5ccb779b2c4e1f00159333ea,single,shuffled,interaction,false,1,12204
5ccb779b2c4e1f00159333ea,single,shuffled,interaction,true,0.6666666666666666,8576.666666666666
5d2e4267565e1200017efb42,single,ordered,main_effect,false,1,5391
5d2e4267565e1200017efb42,single,ordered,main_effect,true,1,8903.666666666666
5d2e4267565e1200017efb42,single,ordered,interaction,false,1,7551.8
5d2e4267565e1200017efb42,single,ordered,interaction,true,1,7908.333333333333
5d2e4267565e1200017efb42,single,shuffled,main_effect,false,1,9195
5d2e4267565e1200017efb42,single,shuffled,main_effect,true,1,6591.75
5d2e4267565e1200017efb42,single,shuffled,interaction,false,0.8,7930
5d2e4267565e1200017efb42,single,shuffled,interaction,true,1,9716
5dbc46b70338051eb7999760,dual,ordered,main_effect,false,1,13618.5
5dbc46b70338051eb7999760,dual,ordered,main_effect,true,1,16718
5dbc46b70338051eb7999760,dual,ordered,interaction,false,1,16236.75
5dbc46b70338051eb7999760,dual,ordered,interaction,true,0.5,13180
5dbc46b70338051eb7999760,dual,shuffled,main_effect,false,1,13789.333333333334
5dbc46b70338051eb7999760,dual,shuffled,main_effect,true,1,14441.4
5dbc46b70338051eb7999760,dual,shuffled,interaction,false,0.8333333333333334,13444
5dbc46b70338051eb7999760,dual,shuffled,interaction,true,1,8161
5de8887aa2db898017debf1a,single,ordered,main_effect,false,1,10402.8
5de8887aa2db898017debf1a,single,ordered,main_effect,true,1,9994.333333333334
5de8887aa2db898017debf1a,single,ordered,interaction,false,1,10829.333333333334
5de8887aa2db898017debf1a,single,ordered,interaction,true,1,9786.4
5de8887aa2db898017debf1a,single,shuffled,main_effect,false,0.8333333333333334,10309.166666666666
5de8887aa2db898017debf1a,single,shuffled,main_effect,true,1,9079
5de8887aa2db898017debf1a,single,shuffled,interaction,false,1,12221.5
5de8887aa2db898017debf1a,single,shuffled,interaction,true,0.8,9760.8
5e84bd7c34d5d9072128fac1,single,ordered,main_effect,false,1,7331.25
5e84bd7c34d5d9072128fac1,single,ordered,main_effect,true,1,5770.75
5e84bd7c34d5d9072128fac1,single,ordered,interaction,false,1,6302.5
5e84bd7c34d5d9072128fac1,single,ordered,interaction,true,1,7191
5e84bd7c34d5d9072128fac1,single,shuffled,main_effect,false,1,6685.5
5e84bd7c34d5d9072128fac1,single,shuffled,main_effect,true,1,5911.25
5e84bd7c34d5d9072128fac1,single,shuffled,interaction,false,1,6838.25
5e84bd7c34d5d9072128fac1,single,shuffled,interaction,true,1,7553.75
5eb070eb793af1113c01e244,single,ordered,main_effect,false,1,8884.5
5eb070eb793af1113c01e244,single,ordered,main_effect,true,1,8944.25
5eb070eb793af1113c01e244,single,ordered,interaction,false,1,12956.75
5eb070eb793af1113c01e244,single,ordered,interaction,true,1,11548.25
5eb070eb793af1113c01e244,single,shuffled,main_effect,false,1,14712.333333333334
5eb070eb793af1113c01e244,single,shuffled,main_effect,true,1,11466.8
5eb070eb793af1113c01e244,single,shuffled,interaction,false,1,10133
5eb070eb793af1113c01e244,single,shuffled,interaction,true,1,11586.333333333334
608bfa04767191aa4d57bfd8,dual,ordered,main_effect,false,0.8,18662.6
608bfa04767191aa4d57bfd8,dual,ordered,main_effect,true,1,12156.666666666666
608bfa04767191aa4d57bfd8,dual,ordered,interaction,false,0.2,18107.4
608bfa04767191aa4d57bfd8,dual,ordered,interaction,true,1,15615.333333333334
608bfa04767191aa4d57bfd8,dual,shuffled,main_effect,false,1,12221.5
608bfa04767191aa4d57bfd8,dual,shuffled,main_effect,true,0.8,17401.2
608bfa04767191aa4d57bfd8,dual,shuffled,interaction,false,0.5,28995.5
608bfa04767191aa4d57bfd8,dual,shuffled,interaction,true,1,20328.5
61095a37fbf7b13d6f7f2f5b,dual,ordered,main_effect,false,1,8483
61095a37fbf7b13d6f7f2f5b,dual,ordered,main_effect,true,1,8081.75
61095a37fbf7b13d6f7f2f5b,dual,ordered,interaction,false,1,8996.25
61095a37fbf7b13d6f7f2f5b,dual,ordered,interaction,true,1,9368
61095a37fbf7b13d6f7f2f5b,dual,shuffled,main_effect,false,0.6666666666666666,8423.666666666666
61095a37fbf7b13d6f7f2f5b,dual,shuffled,main_effect,true,0.75,8289.75
61095a37fbf7b13d6f7f2f5b,dual,shuffled,interaction,false,1,9975
61095a37fbf7b13d6f7f2f5b,dual,shuffled,interaction,true,1,10110.666666666666
62a0b34cbcc5987a8fa73c39,single,ordered,main_effect,false,1,6046.6
62a0b34cbcc5987a8fa73c39,single,ordered,main_effect,true,1,5857.666666666667
62a0b34cbcc5987a8fa73c39,single,ordered,interaction,false,1,6354
62a0b34cbcc5987a8fa73c39,single,ordered,interaction,true,1,7156
62a0b34cbcc5987a8fa73c39,single,shuffled,main_effect,false,1,6247
62a0b34cbcc5987a8fa73c39,single,shuffled,main_effect,true,1,8134.25
62a0b34cbcc5987a8fa73c39,single,shuffled,interaction,false,1,4758.666666666667
62a0b34cbcc5987a8fa73c39,single,shuffled,interaction,true,0.8,7732.2
63d7e5f60432d71a6670d0ba,single,ordered,main_effect,false,1,9715
63d7e5f60432d71a6670d0ba,single,ordered,main_effect,true,1,9604.25
63d7e5f60432d71a6670d0ba,single,ordered,interaction,false,1,12853
