id,participant_id,response_time,correct,trial_number,stimuli_number,response,task,color,attention,time_when,stimulus_chart,stimulus_order,stimulus_index,stimulus_color,stimulus_task,stimulus_trial_index,valid_response_time,valid_correct,stimulus_fields_match,is_answered,participant_type,is_complete
1663,5b5a822e1ad8270001c4f28d,3085,1,0,barchart-first-31-same-shortest-0,right,shortest,same,dual,2026-03-18T15:17:09Z,barchart,first,31,same,shortest,0,TRUE,TRUE,TRUE,TRUE,study,TRUE
1664,5b5a822e1ad8270001c4f28d,39140,1,1,barchart-first-29-same-shortest-1,left,shortest,same,dual,2026-03-18T15:17:49Z,barchart,first,29,same,shortest,1,TRUE,TRUE,TRUE,TRUE,study,TRUE
1665,5b5a822e1ad8270001c4f28d,13628,1,2,barchart-first-02-random-shortest-2,right,shortest,random,dual,2026-03-18T15:18:03Z,barchart,first,2,random,shortest,2,TRUE,TRUE,TRUE,TRUE,study,TRUE
1666,5b5a822e1ad8270001c4f28d,3344,1,3,barchart-first-14-same-shortest-3,left,shortest,same,dual,2026-03-18T15:18:07Z,barchart,first,14,same,shortest,3,TRUE,TRUE,TRUE,TRUE,study,TRUE
1667,5b5a822e1ad8270001c4f28d,8506,1,4,barchart-first-09-random-shortest-4,left,shortest,random,dual,2026-03-18T15:18:16Z,barchart,first,9,random,shortest,4,TRUE,TRUE,TRUE,TRUE,study,TRUE
1672,5b5a822e1ad8270001c4f28d,9788,1,5,barchart-first-17-random-shortest-5,right,shortest,random,dual,2026-03-18T15:18:26Z,barchart,first,17,random,shortest,5,TRUE,TRUE,TRUE,TRUE,study,TRUE
1685,5b5a822e1ad8270001c4f28d,27726,0,6,barchart-first-13-random-shortest-6,right,shortest,random,dual,2026-03-18T15:18:55Z,barchart,first,13,random,shortest,6,TRUE,TRUE,TRUE,TRUE,study,TRUE
1688,5b5a822e1ad8270001c4f28d,3532,0,7,barchart-first-06-double-shortest-7,right,shortest,double,dual,2026-03-18T15:19:00Z,barchart,first,6,double,shortest,7,TRUE,TRUE,TRUE,TRUE,study,TRUE
1692,5b5a822e1ad8270001c4f28d,5365,1,8,barchart-first-05-same-shortest-8,left,shortest,same,dual,2026-03-18T15:19:07Z,barchart,first,5,same,shortest,8,TRUE,TRUE,TRUE,TRUE,study,TRUE
1695,5b5a822e1ad8270001c4f28d,2449,1,9,barchart-first-20-double-shortest-9,right,shortest,double,dual,2026-03-18T15:19:10Z,barchart,first,20,double,shortest,9,TRUE,TRUE,TRUE,TRUE,study,TRUE
1697,5b5a822e1ad8270001c4f28d,2871,0,10,barchart-first-26-random-shortest-10,right,shortest,random,dual,2026-03-18T15:19:13Z,barchart,first,26,random,shortest,10,TRUE,TRUE,TRUE,TRUE,study,TRUE
1699,5b5a822e1ad8270001c4f28d,1922,1,11,barchart-first-12-random-shortest-11,left,shortest,random,dual,2026-03-18T15:19:17Z,barchart,first,12,random,shortest,11,TRUE,TRUE,TRUE,TRUE,study,TRUE
1701,5b5a822e1ad8270001c4f28d,2624,0,12,barchart-first-20-same-shortest-12,left,shortest,same,dual,2026-03-18T15:19:20Z,barchart,first,20,same,shortest,12,TRUE,TRUE,TRUE,TRUE,study,TRUE
1704,5b5a822e1ad8270001c4f28d,3333,0,13,barchart-first-10-double-shortest-13,right,shortest,double,dual,2026-03-18T15:19:25Z,barchart,first,10,double,shortest,13,TRUE,TRUE,TRUE,TRUE,study,TRUE
1706,5b5a822e1ad8270001c4f28d,1305,0,14,barchart-first-11-double-shortest-14,left,shortest,double,dual,2026-03-18T15:19:28Z,barchart,first,11,double,shortest,14,TRUE,TRUE,TRUE,TRUE,study,TRUE
1710,5b5a822e1ad8270001c4f28d,3451,0,15,barchart-first-22-double-shortest-15,left,shortest,double,dual,2026-03-18T15:19:33Z,barchart,first,22,double,shortest,15,TRUE,TRUE,TRUE,TRUE,study,TRUE
1712,5b5a822e1ad8270001c4f28d,2235,0,16,barchart-first-21-double-shortest-16,right,shortest,double,dual,2026-03-18T15:19:37Z,barchart,first,21,double,shortest,16,TRUE,TRUE,TRUE,TRUE,study,TRUE
1714,5b5a822e1ad8270001c4f28d,1455,1,17,barchart-first-00-double-shortest-17,left,shortest,double,dual,2026-03-18T15:19:40Z,barchart,first,0,double,shortest,17,TRUE,TRUE,TRUE,TRUE,study,TRUE
1718,5b5a822e1ad8270001c4f28d,3958,0,18,barchart-first-11-same-shortest-18,left,shortest,same,dual,2026-03-18T15:19:44Z,barchart,first,11,same,shortest,18,TRUE,TRUE,TRUE,TRUE,study,TRUE
1721,5b5a822e1ad8270001c4f28d,2367,1,19,barchart-first-19-double-shortest-19,left,shortest,double,dual,2026-03-18T15:19:48Z,barchart,first,19,double,shortest,19,TRUE,TRUE,TRUE,TRUE,study,TRUE
1723,5b5a822e1ad8270001c4f28d,1424,1,20,barchart-first-03-double-shortest-20,right,shortest,double,dual,2026-03-18T15:19:50Z,barchart,first,3,double,shortest,20,TRUE,TRUE,TRUE,TRUE,study,TRUE
