participant_id,task,color,accuracy,mean_rt_ms
55ecd6ff748092000daa9f5f,tallest,redundant,0.875,629.8125
55ecd6ff748092000daa9f5f,tallest,none,0.9375,752.8125
55ecd6ff748092000daa9f5f,tallest,conflict,1,707.125
55ecd6ff748092000daa9f5f,shortest,redundant,1,1007.375
55ecd6ff748092000daa9f5f,shortest,none,0.9375,945.0625
55ecd6ff748092000daa9f5f,shortest,conflict,0.9375,1058.6875
5622e4dced6e5a0005c80078,tallest,redundant,0.9375,1002
5622e4dced6e5a0005c80078,tallest,none,1,1091
5622e4dced6e5a0005c80078,tallest,conflict,1,964.3125
5622e4dced6e5a0005c80078,shortest,redundant,1,1089.125
5622e4dced6e5a0005c80078,shortest,none,1,1088.1875
5622e4dced6e5a0005c80078,shortest,conflict,1,1173.6875
58f390b1e174d70001585a94,tallest,redundant,1,1005.125
58f390b1e174d70001585a94,tallest,none,1,1023.875
58f390b1e174d70001585a94,tallest,conflict,1,1086.125
58f390b1e174d70001585a94,shortest,redundant,1,1310.75
58f390b1e174d70001585a94,shortest,none,1,1259.3125
58f390b1e174d70001585a94,shortest,conflict,1,1551.375
59e7a66e62637600014a7d69,tallest,redundant,1,1415.625
59e7a66e62637600014a7d69,tallest,none,1,1656.4375
59e7a66e62637600014a7d69,tallest,conflict,1,1631.4375
59e7a66e62637600014a7d69,shortest,redundant,1,2768.1875
59e7a66e62637600014a7d69,shortest,none,0.9375,3176.25
59e7a66e62637600014a7d69,shortest,conflict,0.9375,3024.5
5ba3e0889ac9510001bf1c00,tallest,redundant,1,748.4375
5ba3e0889ac9510001bf1c00,tallest,none,1,889.6875
5ba3e0889ac9510001bf1c00,tallest,conflict,1,1044.5
5ba3e0889ac9510001bf1c00,shortest,redundant,1,1096.6875
5ba3e0889ac9510001bf1c00,shortest,none,1,1129.375
5ba3e0889ac9510001bf1c00,shortest,conflict,1,1374.3125
5c3c1617f5ebd500018596cb,tallest,redundant,1,1217.375
5c3c1617f5ebd500018596cb,tallest,none,1,1260.1875
5c3c1617f5ebd500018596cb,tallest,conflict,1,1439.5
5c3c1617f5ebd500018596cb,shortest,redundant,1,1708.5625
5c3c1617f5ebd500018596cb,shortest,none,0.9375,1729.25
5c3c1617f5ebd500018596cb,shortest,conflict,0.9375,1822.25
5c3c4726e8da5300012422c1,tallest,redundant,0.875,1376.125
5c3c4726e8da5300012422c1,tallest,none,1,1179.1875
5c3c4726e8da5300012422c1,tallest,conflict,0.875,1874.3125
5c3c4726e8da5300012422c1,shortest,redundant,0.875,1346.9375
5c3c4726e8da5300012422c1,shortest,none,1,1278.1875
5c3c4726e8da5300012422c1,shortest,conflict,0.9375,1467.1875
5ce973ea6c890100012ea2ae,tallest,redundant,1,1647.875
5ce973ea6c890100012ea2ae,tallest,none,1,1770.625
5ce973ea6c890100012ea2ae,tallest,conflict,1,1521.8125
5ce973ea6c890100012ea2ae,shortest,redundant,0.9375,2836.4375
5ce973ea6c890100012ea2ae,shortest,none,1,2423.375
5ce973ea6c890100012ea2ae,shortest,conflict,1,2918.125
5d1511f1e814b800016108a6,tallest,redundant,1,2530.0625
5d1511f1e814b800016108a6,tallest,none,1,2289.4375
5d1511f1e814b800016108a6,tallest,conflict,1,2281.0625
5d1511f1e814b800016108a6,shortest,redundant,1,2043.3125
5d1511f1e814b800016108a6,shortest,none,1,2342.9375
5d1511f1e814b800016108a6,shortest,conflict,1,2308.3125
5df961cb53e8466f17606ae1,tallest,redundant,1,1119.8125
5df961cb53e8466f17606ae1,tallest,none,1,1128.3125
5df961cb53e8466f17606ae1,tallest,conflict,1,1095.6875
5df961cb53e8466f17606ae1,shortest,redundant,1,1351.1875
5df961cb53e8466f17606ae1,shortest,none,1,1470.8125
5df961cb53e8466f17606ae1,shortest,conflict,1,1409.3125
5ecf40ccb218ec372490e3ea,tallest,redundant,0.9375,841.4375
5ecf40ccb218ec372490e3ea,tallest,none,1,922.4375
5ecf40ccb218ec372490e3ea,tallest,conflict,1,871.8125
5ecf40ccb218ec372490e3ea,shortest,redundant,1,1249.875
5ecf40ccb218ec372490e3ea,shortest,none,1,1194.3125
5ecf40ccb218ec372490e3ea,shortest,conflict,1,1377.375
5ff07b5ee7a1d23e719e421e,tallest,redundant,0.75,1303.5625
5ff07b5ee7a1d23e719e421e,tallest,none,0.9375,1470.3125
5ff07b5ee7a1d23e719e421e,tallest,conflict,0.9375,1324.5
5ff07b5ee7a1d23e719e421e,shortest,redundant,0.9375,2302.0625
5ff07b5ee7a1d23e719e421e,shortest,none,0.8125,2293.5
