pool,dataset_index,image_file,color_condition,tallest_side,shortest_side,lightest_side
real,0,barchart_00_dark-more.png,dark-more,left,left,left
real,0,barchart_00_light-more.png,light-more,left,left,left
real,0,barchart_00_random.png,random,left,left,
real,1,barchart_01_dark-more.png,dark-more,left,right,right
real,1,barchart_01_light-more.png,light-more,left,right,left
real,1,barchart_01_random.png,random,left,right,
real,2,barchart_02_dark-more.png,dark-more,right,right,right
real,2,barchart_02_light-more.png,light-more,right,right,right
real,2,barchart_02_random.png,random,right,right,
real,3,barchart_03_dark-more.png,dark-more,right,left,left
real,3,barchart_03_light-more.png,light-more,right,left,right
real,3,barchart_03_random.png,random,right,left,
real,4,barchart_04_dark-more.png,dark-more,right,left,left
real,4,barchart_04_light-more.png,light-more,right,left,right
real,4,barchart_04_random.png,random,right,left,
real,5,barchart_05_dark-more.png,dark-more,right,right,right
real,5,barchart_05_light-more.png,light-more,right,right,right
real,5,barchart_05_random.png,random,right,right,
real,6,barchart_06_dark-more.png,dark-more,right,right,right
real,6,barchart_06_light-more.png,light-more,right,right,right
real,6,barchart_06_random.png,random,right,right,
real,7,barchart_07_dark-more.png,dark-more,left,left,left
real,7,barchart_07_light-more.png,light-more,left,left,left
real,7,barchart_07_random.png,random,left,left,
real,8,barchart_08_dark-more.png,dark-more,left,left,left
real,8,barchart_08_light-more.png,light-more,left,left,left
real,8,barchart_08_random.png,random,left,left,
real,9,barchart_09_dark-more.png,dark-more,right,left,left
real,9,barchart_09_light-more.png,light-more,right,left,right
real,9,barchart_09_random.png,random,right,left,
real,10,barchart_10_dark-more.png,dark-more,right,left,left
real,10,barchart_10_light-more.png,light-more,right,left,right
real,10,barchart_10_random.png,random,right,left,
real,11,barchart_11_dark-more.png,dark-more,left,right,right
real,11,barchart_11_light-more.png,light-more,left,right,left
real,11,barchart_11_random.png,random,left,right,
real,12,barchart_12_dark-more.png,dark-more,left,left,left
real,12,barchart_12_light-more.png,light-more,left,left,left
real,12,barchart_12_random.png,random,left,left,
real,13,barchart_13_dark-more.png,dark-more,left,left,left
real,13,barchart_13_light-more.png,light-more,left,left,left
real,13,barchart_13_random.png,random,left,left,
real,14,barchart_14_dark-more.png,dark-more,left,right,right
real,14,barchart_14_light-more.png,light-more,left,right,left
real,14,barchart_14_random.png,random,left,right,
real,15,barchart_15_dark-more.png,dark-more,right,right,right
real,15,barchart_15_light-more.png,light-more,right,right,right
real,15,barchart_15_random.png,random,right,right,
real,16,barchart_16_dark-more.png,dark-more,right,right,right
real,16,barchart_16_light-more.png,light-more,right,right,right
real,16,barchart_16_random.png,random,right,right,
real,17,barchart_17_dark-more.png,dark-more,right,right,right
real,17,barchart_17_light-more.png,light-more,right,right,right
real,17,barchart_17_random.png,random,right,right,
real,18,barchart_18_dark-more.png,dark-more,right,right,right
real,18,barchart_18_light-more.png,light-more,right,right,right
real,18,barchart_18_random.png,random,right,right,
real,19,barchart_19_dark-more.png,dark-more,left,left,left
real,19,barchart_19_light-more.png,light-more,left,left,left
real,19,barchart_19_random.png,random,left,left,
real,20,barchart_20_dark-more.png,dark-more,right,left,left
real,20,barchart_20_light-more.png,light-more,right,left,right
real,20,barchart_20_random.png,random,right,left,
real,21,barchart_21_dark-more.png,dark-more,right,right,right
real,21,barchart_21_light-more.png,light-more,right,right,right
real,21,barchart_21_random.png,random,right,right,
real,22,barchart_22_dark-more.png,dark-more,left,right,right
real,22,barchart_22_light-more.png,light-more,left,right,left
real,22,barchart_22_random.png,random,left,right,
real,23,barchart_23_dark-more.png,dark-more,left,right,right
real,23,barchart_23_light-more.png,light-more,left,right,left
real,23,barchart_23_random.png,random,left,right,
real,24,barchart_24_dark-more.png,dark-more,left,left,left
real,24,barchart_24_light-more.png,light-more,left,left,left
real,24,barchart_24_random.png,random,left,left,
real,25,barchart_25_dark-more.png,dark-more,right,left,left
real,25,barchart_25_light-more.png,light-more,right,left,right
real,25,barchart_25_random.png,random,right,left,
real,26,barchart_26_dark-more.png,dark-more,right,left,left
real,26,barchart_26_light-more.png,light-more,right,left,right
real,26,barchart_26_random.png,random,right,left,
real,27,barchart_27_dark-more.png,dark-more,left,left,left
real,27,barchart_27_light-more.png,light-more,left,left,left
real,27,barchart_27_random.png,random,left,left,
real,28,barchart_28_dark-more.png,dark-more,right,right,right
real,28,barchart_28_light-more.png,light-more,right,right,right
real,28,barchart_28_random.png,random,right,right,
real,29,barchart_29_dark-more.png,dark-more,left,right,right
real,29,barchart_29_light-more.png,light-more,left,right,left
real,29,barchart_29_random.png,random,left,right,
real,30,barchart_30_dark-more.png,dark-more,left,right,right
real,30,barchart_30_light-more.png,light-more,left,right,left
real,30,barchart_30_random.png,random,left,right,
real,31,barchart_31_dark-more.png,dark-more,left,right,right
real,31,barchart_31_light-more.png,light-more,left,right,left
real,31,barchart_31_random.png,random,left,right,
real,32,barchart_32_dark-more.png,dark-more,right,right,right
real,32,barchart_32_light-more.png,light-more,right,right,right
real,32,barchart_32_random.png,random,right,right,
real,33,barchart_33_dark-more.png,dark-more,left,right,right
real,33,barchart_33_light-more.png,light-more,left,right,left
real,33,barchart_33_random.png,random,left,right,
real,34,barchart_34_dark-more.png,dark-more,left,left,left
real,34,barchart_34_light-more.png,light-more,left,left,left
real,34,barchart_34_random.png,random,left,left,
real,35,barchart_35_dark-more.png,dark-more,left,left,left
real,35,barchart_35_light-more.png,light-more,left,left,left
real,35,barchart_35_random.png,random,left,left,
real,36,barchart_36_dark-more.png,dark-more,left,left,left
real,36,barchart_36_light-more.png,light-more,left,left,left
real,36,barchart_36_random.png,random,left,left,
real,37,barchart_37_dark-more.png,dark-more,left,left,left
real,37,barchart_37_light-more.png,light-more,left,left,left
real,37,barchart_37_random.png,random,left,left,
real,38,barchart_38_dark-more.png,dark-more,right,left,left
real,38,barchart_38_light-more.png,light-more,right,left,right
real,38,barchart_38_random.png,random,right,left,
real,39,barchart_39_dark-more.png,dark-more,right,right,right
real,39,barchart_39_light-more.png,light-more,right,right,right
real,39,barchart_39_random.png,random,right,right,
real,40,barchart_40_dark-more.png,dark-more,left,right,right
real,40,barchart_40_light-more.png,light-more,left,right,left
real,40,barchart_40_random.png,random,left,right,
real,41,barchart_41_dark-more.png,dark-more,right,right,right
real,41,barchart_41_light-more.png,light-more,right,right,right
real,41,barchart_41_random.png,random,right,right,
real,42,barchart_42_dark-more.png,dark-more,right,right,right
real,42,barchart_42_light-more.png,light-more,right,right,right
real,42,barchart_42_random.png,random,right,right,
real,43,barchart_43_dark-more.png,dark-more,right,left,left
real,43,barchart_43_light-more.png,light-more,right,left,right
real,43,barchart_43_random.png,random,right,left,
real,44,barchart_44_dark-more.png,dark-more,right,left,left
real,44,barchart_44_light-more.png,light-more,right,left,right
real,44,barchart_44_random.png,random,right,left,
real,45,barchart_45_dark-more.png,dark-more,left,left,left
real,45,barchart_45_light-more.png,light-more,left,left,left
real,45,barchart_45_random.png,random,left,left,
real,46,barchart_46_dark-more.png,dark-more,right,left,left
real,46,barchart_46_light-more.png,light-more,right,left,right
real,46,barchart_46_random.png,random,right,left,
real,47,barchart_47_dark-more.png,dark-more,right,left,left
real,47,barchart_47_light-more.png,light-more,right,left,right
real,47,barchart_47_random.png,random,right,left,
real,48,barchart_48_dark-more.png,dark-more,right,right,right
real,48,barchart_48_light-more.png,light-more,right,right,right
real,48,barchart_48_random.png,random,right,right,
